Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),p-value (one-tail),Significance (one-tail),"p-value (two-tail, BH corrected)","Significance (two-tail, BH corrected)","p-value (one-tail, BH corrected)","Significance (one-tail, BH corrected)"
Node,Agreeableness,None,0.0734,0.0326,935,2.25,0.0246,*,0.0123,*,0.0246,*,0.0123,*
Node,Fluid Intelligence,None,0.108,0.0325,935,3.33,0.000895,***,0.000448,***,0.00179,**,0.000896,***
Node,Agreeableness,Demographics,0.0741,0.0315,933,2.35,0.0191,*,0.00955,**,0.0191,*,0.00955,**
Node,Fluid Intelligence,Demographics,0.0984,0.03,933,3.27,0.0011,**,0.000548,***,0.0022,**,0.001096,**
Node,Agreeableness,Head Motion,0.0428,0.0342,934,1.25,0.211,0,0.106,0,0.422,0,0.212,0
Node,Fluid Intelligence,Head Motion,0.0265,0.0331,934,0.801,0.423,0,0.212,0,0.423,0,0.212,0
Node,Agreeableness,Head Motion + Family,0.0421,0.0339,934,1.24,0.215,0,0.108,0,0.262,0,0.131,0
Node,Fluid Intelligence,Head Motion + Family,0.0353,0.0314,934,1.12,0.262,0,0.131,0,0.262,0,0.131,0
Edge,Conscientiousness,None,0.0745,0.0326,935,2.29,0.0224,*,0.0112,*,0.0226,*,0.0113,*
Edge,Externalizing,None,-0.124,0.0324,935,-3.82,0.000141,***,7.05e-05,***,0.000423,***,0.0002115,***
Edge,Internalizing,None,-0.0743,0.0326,935,-2.28,0.0226,*,0.0113,*,0.0226,*,0.0113,*
Edge,Conscientiousness,Demographics,0.0651,0.0327,933,1.99,0.0464,*,0.0232,*,0.0635,0,0.0317,*
Edge,Externalizing,Demographics,-0.104,0.0326,933,-3.19,0.00145,**,0.000724,***,0.00435,**,0.002172,**
Edge,Internalizing,Demographics,-0.0614,0.0331,933,-1.86,0.0635,0,0.0317,*,0.0635,0,0.0317,*
Edge,Conscientiousness,Head Motion,0.0858,0.0357,934,2.41,0.0164,*,0.00818,**,0.0164,*,0.00818,**
Edge,Externalizing,Head Motion,-0.0938,0.0354,934,-2.65,0.00825,**,0.00412,**,0.0164,*,0.00818,**
Edge,Internalizing,Head Motion,-0.0867,0.0357,934,-2.43,0.0153,*,0.00763,**,0.0164,*,0.00818,**
Edge,Conscientiousness,Head Motion + Family,0.0807,0.0356,934,2.26,0.0238,*,0.0119,*,0.0238,*,0.0119,*
Edge,Externalizing,Head Motion + Family,-0.0931,0.0357,934,-2.61,0.00933,**,0.00467,**,0.0238,*,0.0119,*
Edge,Internalizing,Head Motion + Family,-0.0826,0.036,934,-2.3,0.0219,*,0.011,*,0.0238,*,0.0119,*
Triangle,Externalizing,None,-0.098,0.0326,934,-3.01,0.0027,**,0.00135,**,0.0054,**,0.0027,**
Triangle,Internalizing,None,-0.057,0.0326,934,-1.75,0.0809,0,0.0405,*,0.0809,0,0.0405,*
Triangle,Externalizing,Demographics,-0.104,0.0324,932,-3.22,0.00132,**,0.000662,***,0.00264,**,0.001324,**
Triangle,Internalizing,Demographics,-0.0545,0.0329,932,-1.65,0.0984,0,0.0492,*,0.0984,0,0.0492,*
Triangle,Externalizing,Head Motion,-0.0581,0.0368,933,-1.58,0.115,0,0.0573,0,0.115,0,0.0573,0
Triangle,Internalizing,Head Motion,-0.0693,0.0369,933,-1.88,0.061,0,0.0305,*,0.115,0,0.0573,0
Triangle,Externalizing,Head Motion + Family,-0.0598,0.0371,933,-1.61,0.107,0,0.0537,0,0.107,0,0.0537,0
Triangle,Internalizing,Head Motion + Family,-0.0643,0.0372,933,-1.73,0.0845,0,0.0422,*,0.107,0,0.0537,0
