Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),p-value (one-tail),Significance (one-tail),"p-value (two-tail, BH corrected)","Significance (two-tail, BH corrected)","p-value (one-tail, BH corrected)","Significance (one-tail, BH corrected)"
Node,Agreeableness,None,0.151,0.0504,382,2.99,0.00295,**,0.00147,**,0.00295,**,0.00147,**
Node,Fluid Intelligence,None,0.156,0.0503,382,3.1,0.00211,**,0.00105,**,0.00295,**,0.00147,**
Node,Agreeableness,Demographics,0.138,0.0499,380,2.77,0.00592,**,0.00296,**,0.00592,**,0.00296,**
Node,Fluid Intelligence,Demographics,0.166,0.0501,380,3.31,0.00101,**,0.000503,***,0.00202,**,0.001006,**
Node,Agreeableness,Head Motion,0.126,0.0531,381,2.38,0.0177,*,0.00887,**,0.0354,*,0.01774,*
Node,Fluid Intelligence,Head Motion,0.0859,0.052,381,1.65,0.0994,0,0.0497,*,0.0994,0,0.0497,*
Edge,Conscientiousness,None,0.124,0.0506,382,2.45,0.0147,*,0.00737,**,0.0173,*,0.00865,**
Edge,Externalizing,None,-0.157,0.0503,382,-3.12,0.00194,**,0.000968,***,0.00582,**,0.002904,**
Edge,Internalizing,None,-0.121,0.0506,382,-2.39,0.0173,*,0.00865,**,0.0173,*,0.00865,**
Edge,Conscientiousness,Demographics,0.12,0.0509,380,2.35,0.0194,*,0.00968,**,0.0291,*,0.01452,*
Edge,Externalizing,Demographics,-0.149,0.0506,380,-2.94,0.00347,**,0.00173,**,0.01041,*,0.00519,**
Edge,Internalizing,Demographics,-0.108,0.0509,380,-2.13,0.0342,*,0.0171,*,0.0342,*,0.0171,*
Edge,Conscientiousness,Head Motion,0.164,0.055,381,2.98,0.00307,**,0.00153,**,0.00921,**,0.00459,**
Edge,Externalizing,Head Motion,-0.0969,0.0544,381,-1.78,0.0759,0,0.0379,*,0.0759,0,0.0379,*
Edge,Internalizing,Head Motion,-0.11,0.0552,381,-1.99,0.0472,*,0.0236,*,0.0708,0,0.0354,*
Triangle,Externalizing,None,-0.136,0.0506,381,-2.69,0.0074,**,0.0037,**,0.0148,*,0.0074,**
Triangle,Internalizing,None,-0.116,0.0506,381,-2.3,0.0218,*,0.0109,*,0.0218,*,0.0109,*
Triangle,Externalizing,Demographics,-0.14,0.0508,379,-2.75,0.00628,**,0.00314,**,0.01256,*,0.00628,**
Triangle,Internalizing,Demographics,-0.107,0.0508,379,-2.11,0.0355,*,0.0177,*,0.0355,*,0.0177,*
Triangle,Externalizing,Head Motion,-0.0586,0.0571,380,-1.03,0.305,0,0.153,0,0.305,0,0.153,0
Triangle,Internalizing,Head Motion,-0.105,0.0576,380,-1.82,0.069,0,0.0345,*,0.138,0,0.069,0
