Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),"p-value (two-tail, BH corrected)","Significance (two-tail, BH corrected)"
Node,Agreeableness,None,0.0734,0.0326,935,2.25,0.0246,*,0.0246,*
Node,Fluid Intelligence,None,0.108,0.0325,935,3.33,0.000895,***,0.00179,**
Node,Agreeableness,Head Motion + Family,0.0421,0.0339,934,1.24,0.215,0,0.262,0
Node,Fluid Intelligence,Head Motion + Family,0.0353,0.0314,934,1.12,0.262,0,0.262,0
Edge,Conscientiousness,None,0.0745,0.0326,935,2.29,0.0224,*,0.0226,*
Edge,Externalizing,None,-0.124,0.0324,935,-3.82,0.000141,***,0.000423,***
Edge,Internalizing,None,-0.0743,0.0326,935,-2.28,0.0226,*,0.0226,*
Edge,Conscientiousness,Head Motion + Family,0.0807,0.0356,934,2.26,0.0238,*,0.0238,*
Edge,Externalizing,Head Motion + Family,-0.0931,0.0357,934,-2.61,0.00933,**,0.0238,*
Edge,Internalizing,Head Motion + Family,-0.0826,0.036,934,-2.3,0.0219,*,0.0238,*
Triangle,Externalizing,None,-0.098,0.0326,934,-3.01,0.0027,**,0.0054,**
Triangle,Internalizing,None,-0.057,0.0326,934,-1.75,0.0809,0,0.0809,0
Triangle,Externalizing,Head Motion + Family,-0.0598,0.0371,933,-1.61,0.107,0,0.107,0
Triangle,Internalizing,Head Motion + Family,-0.0643,0.0372,933,-1.73,0.0845,0,0.107,0
