Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail),"p-value (two-tail, BH corrected)","Significance (two-tail, BH corrected)"
Node,Agreeableness,None,0.151,0.0504,382,2.99,0.00295,**,0.00295,**
Node,Fluid Intelligence,None,0.156,0.0503,382,3.1,0.00211,**,0.00295,**
Node,Agreeableness,Head Motion,0.126,0.0531,381,2.38,0.0177,*,0.0354,*
Node,Fluid Intelligence,Head Motion,0.0859,0.052,381,1.65,0.0994,0,0.0994,0
Edge,Conscientiousness,None,0.124,0.0506,382,2.45,0.0147,*,0.0173,*
Edge,Externalizing,None,-0.157,0.0503,382,-3.12,0.00194,**,0.00582,**
Edge,Internalizing,None,-0.121,0.0506,382,-2.39,0.0173,*,0.0173,*
Edge,Conscientiousness,Head Motion,0.164,0.055,381,2.98,0.00307,**,0.00921,**
Edge,Externalizing,Head Motion,-0.0969,0.0544,381,-1.78,0.0759,0,0.0759,0
Edge,Internalizing,Head Motion,-0.11,0.0552,381,-1.99,0.0472,*,0.0708,0
Triangle,Externalizing,None,-0.136,0.0506,381,-2.69,0.0074,**,0.0148,*
Triangle,Internalizing,None,-0.116,0.0506,381,-2.3,0.0218,*,0.0218,*
Triangle,Externalizing,Head Motion,-0.0586,0.0571,380,-1.03,0.305,0,0.305,0
Triangle,Internalizing,Head Motion,-0.105,0.0576,380,-1.82,0.069,0,0.138,0
