Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95
103414,0.189398014493288,-0.0104668375480706,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0.189398014493287,0,0,0,0,0,0
104820,0.183269747400781,-0.0086093165364093,0.183269747400781,0.181355221685574,0.183269747400781,0.181397244693334,0.183269747400781,0.181355221685574,0,0,0,0,0,0
108222,0.19103179533125,-0.0106518780245701,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
111514,0.181537682823377,-0.00940577177787303,0.172853843810239,0.178013688936154,0.172573028823176,0.177917878949011,0.172853843810239,0.178013688936154,0,0,0,0,0,0
115724,0.183062148925394,-0.00622584345386753,0.183062148925394,0.181759000362935,0.183062148925394,0.181707597163634,0.183062148925394,0.181759000362935,0,0,0,0,0,0
118023,0.209119875469986,-0.00738371193776385,0.209119875469987,0.207406374880616,0.209119875469987,0.207238959212092,0.209119875469987,0.207406374880616,0,0,0,0,0,0
118225,0.200733363836541,-0.0089046635591524,0.195175083216563,0.196677136892676,0.195169060596528,0.196522822356945,0.195175083216563,0.196677136892676,0,0,0,0,0,0
120111,0.17502728687274,-0.00732839494175009,0.173926014676439,0.173544467857255,0.173919353755897,0.17357266253285,0.173926014676439,0.173544467857255,0,0,0,0,0,0
124422,0.215067020883932,-0.00886490878032501,0.212469382937906,0.213372356154678,0.212401299685288,0.213393340590375,0.212469382937906,0.213372356154678,0,0,0,0,0,0
124624,0.263381662858,-0.00849683083981552,0.256013359742695,0.260383335760754,0.256132203341329,0.260606215200596,0.256013359742695,0.260383335760754,0,0,0,0,0,0
124826,0.197312513433412,-0.0106930355709438,0.192231675546731,0.193019599987718,0.192058090094147,0.192873681332419,0.192231675546731,0.193019599987718,0,0,0,0,0,0
125424,0.158219893518954,-0.00848978024696792,0.148762694333689,0.15271487233589,0.14880375473393,0.152683169650568,0.148762694333689,0.15271487233589,0,0,0,0,0,0
127226,0.245740082644628,-0.0075389604338843,0.245740082644629,0.245740082644629,0.245740082644629,0.245740082644629,0.245740082644629,0.245740082644629,0,0,0,0,0,0
129129,0.273864345706683,-0.00631970850003712,0.269028347163201,0.261389602194533,0.269231275070322,0.261518545724901,0.269028347163201,0.261389602194533,0,0,0,0,0,0
130821,0.201928213154731,-0.0100240977098983,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
131924,0.1697847463072,-0.0119267825046528,0.169784746307201,0.169784746307201,0.169784746307201,0.169784746307201,0.169784746307201,0.169784746307201,0,0,0,0,0,0
133625,0.22475995606576,-0.0076211011314248,0.22475995606576,0.22475995606576,0.22475995606576,0.22475995606576,0.22475995606576,0.22475995606576,0,0,0,0,0,0
134425,0.172830583162854,-0.0116645154052658,0.167618023435696,0.170118400716261,0.167691587786685,0.1698649214106,0.167618023435696,0.170118400716261,0,0,0,0,0,0
134728,0.202931061423288,-0.00790411859996315,0.191058579746721,0.194015709115388,0.190924277545974,0.193959183144914,0.196589562956501,0.19674465686107,0,0,0,0,0,0
135730,0.199024344617896,-0.0076734573045042,0.199024344617896,0.199024344617896,0.199024344617896,0.199024344617896,0.199024344617896,0.199024344617896,0,0,0,0,0,0
135932,0.202300273246219,-0.00776323896469042,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
137128,0.19912182762412,-0.00833869358922241,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
137936,0.136834319526627,-0.0117944474668688,0.136834319526628,0.132818465297814,0.136834319526628,0.132815247307326,0.136834319526628,0.132818465297814,0,0,0,0,0,0
138231,0.136989554162967,-0.0151085415101428,0.136989554162967,0.133223550837545,0.136989554162967,0.133018340512089,0.136989554162967,0.135113430392391,0,0,0,0,0,0
140117,0.209414053589878,-0.010617148760885,0.209414053589877,0.209414053589877,0.209414053589877,0.209414053589877,0.209414053589877,0.209414053589877,0,0,0,0,0,0
140824,0.120843557664551,-0.00951032568619349,0.120843557664551,0.119449913044537,0.120843557664551,0.119360477854022,0.120843557664551,0.119449913044537,0,0,0,0,0,0
141119,0.256332819374522,-0.00809816753410899,0.224297607503781,0.22786017434842,0.231855599160467,0.232369946834293,0.248470959707083,0.244025982286154,0,0,0,0,0,0
141422,0.222947350987273,-0.00846326207906827,0.222947350987274,0.222947350987274,0.222947350987274,0.222947350987274,0.222947350987274,0.222947350987274,0,0,0,0,0,0
141826,0.293063089495936,-0.00901326514969233,0.279344773755051,0.289741411307967,0.278819273756912,0.289603672603463,0.279344773755051,0.289741411307967,0,0,0,0,0,0
143325,0.158192098898146,-0.00859347100241873,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
143830,0.162549731301385,-0.0118851061154162,0.149864860671224,0.151945306470571,0.149640328218983,0.151597847571469,0.162549731301385,0.158952394860701,0,0,0,0,0,0
144731,0.165428114146063,-0.010292023395753,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000
145834,0.179740809855533,-0.00853625221331254,0.179740809855533,0.179740809855533,0.179740809855533,0.179740809855533,0.179740809855533,0.179740809855533,0,0,0,0,0,0
