Subject,none,all,peak_dense_80,matched_random_80,peak_dense_90,matched_random_90,peak_dense_95,matched_random_95,peak_dense_num_na_80,matched_random_num_na_80,peak_dense_num_na_90,matched_random_num_na_90,peak_dense_num_na_95,matched_random_num_na_95,none_minus_all,peak_dense_minus_none_90,peak_dense_minus_all_90,peak_dense_minus_matched_random_90,none_minus_matched_random_90,peak_dense_minus_none_80,peak_dense_minus_all_80,peak_dense_minus_matched_random_80,none_minus_matched_random_80,peak_dense_minus_none_95,peak_dense_minus_all_95,peak_dense_minus_matched_random_95,none_minus_matched_random_95
100206,0.207929644703422,-0.00756348325217785,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0.207929644703421,0,0,0,0,0,0,0.2154931279556,-9.99200722162641e-16,0.215493127955599,0,9.99200722162641e-16,-9.99200722162641e-16,0.215493127955599,0,9.99200722162641e-16,-9.99200722162641e-16,0.215493127955599,0,9.99200722162641e-16
100307,0.229584036550661,-0.00655077314896915,0.209149089972517,0.219626668565005,0.20884126540466,0.219718703972002,0.2121454822224,0.22121918305651,0,0,0,0,0,0,0.23613480969963,-0.020742771146001,0.215392038553629,-0.010877438567342,0.00986533257865901,-0.020434946578144,0.215699863121486,-0.010477578592488,0.009957367985656,-0.017438554328261,0.218696255371369,-0.00907370083410999,0.008364853494151
100408,0.230054873980474,-0.0101094053730205,0.19428123609428,0.212262100461595,0.194119143802508,0.21249415558067,0.229325696817854,0.22310478315927,0,0,0,0,0,0,0.240164279353494,-0.035935730177966,0.204228549175528,-0.018375011778162,0.017560718399804,-0.035773637886194,0.2043906414673,-0.017980864367315,0.017792773518879,-0.000729177162619998,0.239435102190874,0.00622091365858402,0.00695009082120401
100610,0.2008012967371,-0.00625225220671306,0.188423698314039,0.193404086263324,0.188533810250123,0.193440400783164,0.188423698314039,0.193404086263324,0,0,0,0,0,0,0.207053548943813,-0.012267486486977,0.194786062456836,-0.00490659053304099,0.00736089595393602,-0.012377598423061,0.194675950520752,-0.00498038794928501,0.00739721047377601,-0.012377598423061,0.194675950520752,-0.00498038794928501,0.00739721047377601
101006,0.19552888488402,-0.00999015257372787,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000,0.205519037457748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101107,0.128240982334072,-0.00997649954642802,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0.128240982334073,0,0,0,0,0,0,0.1382174818805,9.99200722162641e-16,0.138217481880501,0,-9.99200722162641e-16,9.99200722162641e-16,0.138217481880501,0,-9.99200722162641e-16,9.99200722162641e-16,0.138217481880501,0,-9.99200722162641e-16
101309,0.244539207175926,-0.0100122984182099,0.208614922839506,0.216533523099923,0.214016706452547,0.222930584249614,0.233388080150464,0.233896304976852,0,0,0,0,0,0,0.254551505594136,-0.030522500723379,0.224029004870757,-0.00891387779706701,0.021608622926312,-0.03592428433642,0.218627221257716,-0.00791860026041699,0.028005684076003,-0.011151127025462,0.243400378568674,-0.000508224826387987,0.010642902199074
101915,0.208409687126268,-0.0105984294828517,0.199238120153543,0.205117862326878,0.20002726071525,0.205289361786775,0.199238120153543,0.205117862326878,0,0,0,0,0,0,0.21900811660912,-0.008382426411018,0.210625690198102,-0.005262101071525,0.003120325339493,-0.009171566972725,0.209836549636395,-0.00587974217333501,0.00329182479939,-0.009171566972725,0.209836549636395,-0.00587974217333501,0.00329182479939
102008,0.27067207959118,-0.00773754047248507,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0.270672079591179,0,0,0,0,0,0,0.278409620063665,-9.99200722162641e-16,0.278409620063664,0,9.99200722162641e-16,-9.99200722162641e-16,0.278409620063664,0,9.99200722162641e-16,-9.99200722162641e-16,0.278409620063664,0,9.99200722162641e-16
102109,0.206831860454296,-0.00719932282673876,0.197965866383722,0.194817187693856,0.197953399307027,0.195139344173576,0.203034701858309,0.197820227606983,0,0,0,0,0,0,0.214031183281035,-0.00887846114726901,0.205152722133766,0.00281405513345098,0.01169251628072,-0.00886599407057401,0.205165189210461,0.00314867868986599,0.01201467276044,-0.003797158595987,0.210234024685048,0.00521447425132598,0.00901163284731299
102311,0.150320251563036,-0.0124929275811452,0.125031985645584,0.140113246312405,0.124916929570424,0.139851417361182,0.150320251563037,0.144930542301809,0,0,0,0,0,0,0.162813179144181,-0.025403321992612,0.137409857151569,-0.014934487790758,0.010468834201854,-0.025288265917452,0.137524913226729,-0.015081260666821,0.010207005250631,9.99200722162641e-16,0.162813179144182,0.005389709261228,0.005389709261227
102513,0.256177325581395,-0.00976194506532248,0.237822855048337,0.240227000342246,0.238238569623783,0.240610116268507,0.240269195342077,0.244083638432092,0,0,0,0,0,0,0.265939270646717,-0.017938755957612,0.248000514689106,-0.002371546644724,0.015567209312888,-0.018354470533058,0.247584800113659,-0.002404145293909,0.015950325239149,-0.015908130239318,0.250031140407399,-0.003814443090015,0.012093687149303
102614,0.261024770146025,-0.00742993985938347,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000,0.268454710005408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102816,0.188277426874775,-0.0088922308960019,0.186585515929146,0.186454898236826,0.186714916383879,0.18639477145396,0.186585515929146,0.186454898236826,0,0,0,0,0,0,0.197169657770777,-0.00156251049089601,0.195607147279881,0.000320144929918997,0.001882655420815,-0.00169191094562901,0.195477746825148,0.000130617692319979,0.00182252863794899,-0.00169191094562901,0.195477746825148,0.000130617692319979,0.00182252863794899
103111,0.205424122896888,-0.0102893811803231,0.192916056934863,0.190225526062655,0.193190628818235,0.18996544307652,0.196446887403334,0.194654441911603,0,0,0,0,0,0,0.215713504077211,-0.012233494078653,0.203480009998558,0.00322518574171501,0.015458679820368,-0.012508065962025,0.203205438115186,0.002690530872208,0.015198596834233,-0.008977235493554,0.206736268583657,0.00179244549173099,0.010769680985285
103212,0.184213717576383,-0.0102973607517988,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000,0.194511078328182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103515,0.190392464678179,-0.0126325486052409,NaN,NaN,NaN,NaN,NaN,NaN,1000,1000,1000,1000,1000,1000,0.20302501328342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
