subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101410,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.24269820498843,139,1696,100,1,31-Mar-2026 19:55:31
104820,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.183269747400781,124,1457,100,1,31-Mar-2026 19:56:59
103414,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.189398014493288,117,1358,100,1,31-Mar-2026 19:57:06
111514,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.181537682823377,128,1506,100,1,31-Mar-2026 19:59:41
113619,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.195369785183057,147,1770,100,1,31-Mar-2026 19:59:48
108222,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.19103179533125,103,1199,100,1,31-Mar-2026 20:00:15
115724,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.183062148925394,244,2986,100,1,31-Mar-2026 20:00:35
114116,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.194400635402882,188,2296,100,1,31-Mar-2026 20:00:42
116221,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.20103490822854,137,1669,100,1,31-Mar-2026 20:01:30
118023,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.209119875469986,172,2106,100,1,31-Mar-2026 20:02:49
119732,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.177176365941645,201,2483,100,1,31-Mar-2026 20:04:10
120111,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.17502728687274,156,1922,100,1,31-Mar-2026 20:04:19
122418,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.220378328253032,150,1893,100,1,31-Mar-2026 20:04:22
119833,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.220678138521905,173,2149,100,1,31-Mar-2026 20:04:22
118225,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.200733363836541,159,1870,100,1,31-Mar-2026 20:04:23
