subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101410,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.434539999438341,958,9928,161700,1,01-Apr-2026 23:42:32
103414,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.306562600440492,975,10270,161700,1,01-Apr-2026 23:42:46
104820,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.226846563616342,349,4214,161700,1,01-Apr-2026 23:43:05
108222,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.284239034216468,725,7858,161700,1,01-Apr-2026 23:45:31
111514,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.360178188423057,1077,11099,161700,1,01-Apr-2026 23:48:52
115724,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.27421064397742,866,9372,161700,1,01-Apr-2026 23:51:02
113619,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.390053785266468,849,8759,161700,1,01-Apr-2026 23:51:41
114116,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.414349668383077,1208,11066,161700,1,01-Apr-2026 23:52:03
116221,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.468146230432378,1152,11031,161700,1,01-Apr-2026 23:54:31
118023,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.346522152678597,801,8330,161700,1,01-Apr-2026 23:55:00
119833,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.250350688146916,822,8921,161700,1,01-Apr-2026 23:56:23
119732,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.454337926616969,1164,11096,161700,1,01-Apr-2026 23:56:36
120111,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.355865264647515,1142,11998,161700,1,01-Apr-2026 23:56:45
124422,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.187875126846191,405,4641,161700,1,01-Apr-2026 23:57:37
122418,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.462901266503234,992,9603,161700,1,01-Apr-2026 23:58:47
124624,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.180669659303645,494,5229,161700,1,01-Apr-2026 23:58:57
118225,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.489910714027005,1191,11497,161700,1,02-Apr-2026 00:01:17
124826,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.434342950245973,1138,11196,161700,1,02-Apr-2026 00:01:38
127226,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.220984899939451,612,6737,161700,1,02-Apr-2026 00:03:05
125424,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.225436748794777,797,8745,161700,1,02-Apr-2026 00:03:07
129129,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.370017061746578,760,7391,161700,1,02-Apr-2026 00:05:07
130821,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.202375077369386,425,4704,161700,1,02-Apr-2026 00:05:25
129937,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.52758401787443,1103,10459,161700,1,02-Apr-2026 00:06:16
130922,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.303356454916538,575,6602,161700,1,02-Apr-2026 00:06:23
133625,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.382442579152022,879,9635,161700,1,02-Apr-2026 00:07:48
131924,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.320113101393862,826,8949,161700,1,02-Apr-2026 00:08:18
134425,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.332464230270541,790,8202,161700,1,02-Apr-2026 00:08:40
134728,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.298030455260886,913,9998,161700,1,02-Apr-2026 00:09:22
136732,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,42,8,50,10,0.0358968870327448,300,3192,161700,1,02-Apr-2026 00:09:57
135730,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.225700445929398,806,8653,161700,1,02-Apr-2026 00:10:35
137936,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,8,50,10,0.171935232125068,379,3970,161700,1,02-Apr-2026 00:11:07
135932,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.251962123790296,442,5005,161700,1,02-Apr-2026 00:11:26
