subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
104820,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.551966251004452,741,7456,4950,1,01-Apr-2026 17:47:06
103414,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.338628212600901,537,6269,4950,1,01-Apr-2026 17:47:24
101410,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.48149294107773,704,7512,4950,1,01-Apr-2026 17:47:26
106319,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.471072770686138,616,6557,4950,1,01-Apr-2026 17:47:43
107220,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.337233862506452,344,3772,4950,1,01-Apr-2026 17:48:13
108222,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.485559302037602,754,7819,4950,1,01-Apr-2026 17:49:51
114116,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.373839294015103,634,7028,4950,1,01-Apr-2026 17:50:34
119732,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.39980843381909,621,6717,4950,1,01-Apr-2026 17:50:51
111514,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.507146137060078,793,8482,4950,1,01-Apr-2026 17:50:58
119833,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.434523401054284,608,6613,4950,1,01-Apr-2026 17:51:08
118225,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.515375398241798,591,6150,4950,1,01-Apr-2026 17:51:47
116221,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.457464866114646,740,7963,4950,1,01-Apr-2026 17:51:52
124422,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.417530671370703,728,8068,4950,1,01-Apr-2026 17:51:52
113619,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.49467875210416,732,8049,4950,1,01-Apr-2026 17:52:02
124624,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.346231986145445,598,6703,4950,1,01-Apr-2026 17:52:08
120111,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.395107901259542,546,6054,4950,1,01-Apr-2026 17:52:09
118023,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.444120219852419,735,7998,4950,1,01-Apr-2026 17:52:13
115724,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.486941281535345,826,8855,4950,1,01-Apr-2026 17:52:55
124826,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.451086143119491,631,6874,4950,1,01-Apr-2026 17:53:06
125424,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.493345382353011,654,7048,4950,1,01-Apr-2026 17:54:15
127226,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.425560001367939,716,7695,4950,1,01-Apr-2026 17:54:28
136732,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,43,9,50,10,0.316486255273204,244,2658,4950,1,01-Apr-2026 17:54:42
122418,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.569372046606592,876,8824,4950,1,01-Apr-2026 17:55:02
129937,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.388021566519441,450,4982,4950,1,01-Apr-2026 17:55:25
127731,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.429524543529462,572,6105,4950,1,01-Apr-2026 17:55:27
130821,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.289494610403781,370,4264,4950,1,01-Apr-2026 17:55:28
