subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
108222,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.238281616508726,99,1168,100,1,01-Apr-2026 14:25:05
113619,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.258613810866633,150,1821,100,1,01-Apr-2026 14:25:07
106319,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.231654866605263,117,1418,100,1,01-Apr-2026 14:25:16
119732,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.178675941809513,119,1486,100,1,01-Apr-2026 14:25:23
104820,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.240868584745905,142,1692,100,1,01-Apr-2026 14:25:27
101410,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.190784473494645,127,1455,100,1,01-Apr-2026 14:25:41
118225,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.17111474119123,86,903,100,1,01-Apr-2026 14:25:41
120111,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.254926275194123,161,2004,100,1,01-Apr-2026 14:25:45
119833,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.287819997941813,206,2486,100,1,01-Apr-2026 14:25:48
114116,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.166030241993176,185,2394,100,1,01-Apr-2026 14:25:54
103414,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.191173256697474,147,1747,100,1,01-Apr-2026 14:25:59
124422,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.220829912598717,130,1484,100,1,01-Apr-2026 14:26:01
115724,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.212851196034649,232,2847,100,1,01-Apr-2026 14:26:09
111514,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.22015829748218,145,1693,100,1,01-Apr-2026 14:26:12
122418,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.17375182237006,124,1449,100,1,01-Apr-2026 14:26:14
107220,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,10,50,10,0.133284852109613,147,1672,100,1,01-Apr-2026 14:26:17
124624,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.277661166988565,199,2397,100,1,01-Apr-2026 14:26:23
124826,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.261589918291697,281,3390,100,1,01-Apr-2026 14:26:35
116221,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.182296963603304,210,2496,100,1,01-Apr-2026 14:26:36
118023,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.283760528125395,179,2177,100,1,01-Apr-2026 14:27:01
127731,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.142116203120637,105,1251,100,1,01-Apr-2026 14:27:40
129129,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.20852254610351,91,1025,100,1,01-Apr-2026 14:27:49
125424,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.246268047190235,183,2213,100,1,01-Apr-2026 14:27:57
127226,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.222869750254588,153,1902,100,1,01-Apr-2026 14:28:07
129937,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.216104346561528,90,1137,100,1,01-Apr-2026 14:29:03
136732,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,43,9,50,10,0.113199649353495,101,1170,100,1,01-Apr-2026 14:30:06
135730,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.214382126901179,160,1992,100,1,01-Apr-2026 14:30:16
133625,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.165405899454725,133,1498,100,1,01-Apr-2026 14:30:20
136126,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.272580571788965,174,2128,100,1,01-Apr-2026 14:30:22
134728,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.250055978243123,153,1852,100,1,01-Apr-2026 14:30:24
137128,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.227079790545989,131,1565,100,1,01-Apr-2026 14:30:27
130821,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.127168184839798,137,1526,100,1,01-Apr-2026 14:30:34
137633,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.136235520822009,140,1573,100,1,01-Apr-2026 14:30:39
137936,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,12,50,10,0.249617361459549,180,1948,100,1,01-Apr-2026 14:30:41
130922,RL,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.236122911415822,99,1093,100,1,01-Apr-2026 14:30:48
