subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
107220,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,10,50,10,0.197676239292982,587,6537,161700,1,02-Apr-2026 03:42:18
106319,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.360804955892205,668,7229,161700,1,02-Apr-2026 03:43:03
104820,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.393752898024829,790,7986,161700,1,02-Apr-2026 03:43:33
103414,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.269721800682699,923,10128,161700,1,02-Apr-2026 03:44:18
136732,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,43,9,50,10,0.155207170954154,401,4431,161700,1,02-Apr-2026 03:45:36
111514,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.441401725625357,1205,11629,161700,1,02-Apr-2026 03:46:06
113619,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.390490275770189,941,9592,161700,1,02-Apr-2026 03:46:53
101410,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.54851195840402,1364,12318,161700,1,02-Apr-2026 03:47:01
130821,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.196778357551184,501,5469,161700,1,02-Apr-2026 03:47:01
137936,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.259344551806802,524,5602,161700,1,02-Apr-2026 03:47:12
135730,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.210088545598868,445,4681,161700,1,02-Apr-2026 03:47:19
108222,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.499120821559029,1116,10429,161700,1,02-Apr-2026 03:47:25
129937,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.223707814369894,656,6993,161700,1,02-Apr-2026 03:47:43
140117,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.247015313714505,607,6760,161700,1,02-Apr-2026 03:48:00
115724,RL,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.353793461964098,1039,11021,161700,1,02-Apr-2026 03:48:09
