subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100206,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.215555092412312,100,1281,40,1,02-Apr-2026 13:55:20
100307,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.254391796026667,125,1629,40,1,02-Apr-2026 13:56:58
101006,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.245965271834602,118,1490,40,1,02-Apr-2026 13:57:27
100408,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.18374758869777,119,1497,40,1,02-Apr-2026 13:58:00
100610,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.177083168949628,114,1424,40,0.999999999999999,02-Apr-2026 13:58:59
101107,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,9,50,10,0.208960067637877,94,1240,40,1,02-Apr-2026 13:59:21
102311,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.171732167850665,104,1333,40,1,02-Apr-2026 13:59:35
101915,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.270733505752726,138,1778,40,1,02-Apr-2026 13:59:57
102109,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.229453466014505,150,1925,40,0.999999999999999,02-Apr-2026 14:00:18
101309,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.281277250797637,131,1705,40,0.999999999999999,02-Apr-2026 14:00:51
102816,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,10,50,10,0.211339891744087,99,1261,40,0.999999999999999,02-Apr-2026 14:01:05
102513,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.234703735266799,105,1332,40,1,02-Apr-2026 14:01:13
102008,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,9,50,10,0.213584421717221,107,1362,40,0.999999999999999,02-Apr-2026 14:02:07
102614,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.169430031770276,97,1266,40,0.999999999999999,02-Apr-2026 14:02:28
103818,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.118608382793819,93,1141,40,1,02-Apr-2026 14:03:23
103111,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.256189604904647,128,1679,40,1,02-Apr-2026 14:03:41
