subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101006,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.217213252381458,147,1717,170,0.900792651839975,02-Apr-2026 21:13:37
100408,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.261545504828057,220,2504,180,0.900802272887229,02-Apr-2026 21:13:45
100206,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.219791134890465,205,2383,170,0.900040472631048,02-Apr-2026 21:13:55
100307,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.28728664394566,269,3132,183,0.900481844448322,02-Apr-2026 21:13:59
103111,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.344792292220729,290,3366,201,0.900084522429491,02-Apr-2026 21:14:12
102008,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,8,50,10,0.196916422823,146,1693,175,0.900321899890615,02-Apr-2026 21:14:17
102816,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.241473514974133,165,1952,173,0.900576589248579,02-Apr-2026 21:14:16
102513,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.346209776056671,221,2505,180,0.900241723456884,02-Apr-2026 21:14:27
103212,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.23465064634446,259,3038,176,0.900492722033294,02-Apr-2026 21:14:32
100610,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.259434175025348,208,2387,165,0.900899032404081,02-Apr-2026 21:14:39
101915,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.275301231035746,192,2233,173,0.900457997637377,02-Apr-2026 21:14:43
102614,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.199569245279472,164,1902,168,0.900892156225178,02-Apr-2026 21:14:48
101107,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,10,50,10,0.29013173491067,309,3524,169,0.90092480893412,02-Apr-2026 21:14:52
