subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100206,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.063077441633154,312,3826,100,1,02-Apr-2026 16:52:50
100307,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0848927115435948,64,812,100,1,02-Apr-2026 16:53:20
100610,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.14977700263779,49,588,100,1,02-Apr-2026 16:54:05
100408,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.041927679273299,88,1070,100,1,02-Apr-2026 16:54:28
101006,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0508609935397639,112,1340,100,1,02-Apr-2026 16:55:27
101309,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.137469141641109,294,3461,100,1,02-Apr-2026 16:56:48
101915,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,12,50,10,0.0505884933590222,223,2615,100,1,02-Apr-2026 16:56:58
102008,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,12,50,10,0.104247657644259,271,3280,100,1,02-Apr-2026 16:57:19
102109,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0526268936410418,91,1104,100,1,02-Apr-2026 16:57:20
102513,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.0694510066424883,260,2914,100,1,02-Apr-2026 16:58:10
104012,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0549204042167891,105,1237,100,1,02-Apr-2026 17:00:10
101107,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,17,50,10,0.0392876565075668,754,6988,100,1,02-Apr-2026 17:00:20
102311,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,15,50,10,0.04447761647141,741,6844,100,1,02-Apr-2026 17:00:30
103212,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0212539792387543,148,1700,100,1,02-Apr-2026 17:00:32
102816,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,11,50,10,0.169230566769925,452,5223,100,1,02-Apr-2026 17:00:55
103515,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.0563762239479241,110,1311,100,1,02-Apr-2026 17:01:04
103111,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0487142824481232,167,1973,100,1,02-Apr-2026 17:01:13
104416,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0221870182900767,140,1641,100,1,02-Apr-2026 17:01:24
105115,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0262102179894243,139,1633,100,1,02-Apr-2026 17:01:28
105216,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.136528366897771,313,3747,100,1,02-Apr-2026 17:01:32
105923,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.137310673215412,205,2533,100,1,02-Apr-2026 17:01:57
106016,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0386118045305925,85,1057,100,1,02-Apr-2026 17:02:21
102614,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0453785223695889,745,6940,100,1,02-Apr-2026 17:02:44
103818,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0311493083643451,728,6926,100,1,02-Apr-2026 17:04:11
107725,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,8,50,10,0.0564826446280992,64,825,100,1,02-Apr-2026 17:04:20
110007,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.0829327479291036,49,588,100,1,02-Apr-2026 17:04:25
108121,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,8,50,10,0.0110880338934289,103,1214,100,1,02-Apr-2026 17:04:27
107018,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.086221937367587,97,1185,100,1,02-Apr-2026 17:04:31
109325,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0898112696755231,112,1326,100,1,02-Apr-2026 17:04:41
106521,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0171299652091082,151,1737,100,1,02-Apr-2026 17:05:00
108323,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.118036546562952,410,4799,100,1,02-Apr-2026 17:05:00
109123,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.084260996269702,261,3137,100,1,02-Apr-2026 17:05:09
106824,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,13,50,10,0.100999718542794,279,3385,100,1,02-Apr-2026 17:05:11
110613,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.0692278724522387,142,1649,100,1,02-Apr-2026 17:05:27
107321,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.0557274519890261,98,1080,100,1,02-Apr-2026 17:05:42
108828,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0704140529004721,110,1316,100,1,02-Apr-2026 17:06:22
105620,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.054917379627914,768,7001,100,1,02-Apr-2026 17:06:36
105014,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,18,50,10,0.042144434520893,884,7781,100,1,02-Apr-2026 17:06:39
111413,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.0243865403304179,49,588,100,1,02-Apr-2026 17:07:18
113215,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0939764907607721,117,1394,100,1,02-Apr-2026 17:07:39
112314,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0953074000688696,306,3645,100,1,02-Apr-2026 17:07:46
111716,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.126280036521249,183,2187,100,1,02-Apr-2026 17:07:46
111009,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0997424148671179,295,3722,100,1,02-Apr-2026 17:07:58
107422,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,16,50,10,0.0315326479919435,783,6787,100,1,02-Apr-2026 17:08:10
111211,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,12,50,10,0.128249613173894,336,3916,100,1,02-Apr-2026 17:08:11
112920,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.00274814605445588,93,1127,100,1,02-Apr-2026 17:08:12
114217,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.119066266176087,249,2971,100,1,02-Apr-2026 17:08:23
110411,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0540979464378881,711,6502,100,1,02-Apr-2026 17:08:31
113316,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0272322164159781,120,1428,100,1,02-Apr-2026 17:08:34
112516,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0389174841888578,124,1502,100,1,02-Apr-2026 17:08:45
113922,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,12,50,10,0.0982979034261087,374,4680,100,1,02-Apr-2026 17:08:47
108525,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,16,50,10,0.00607043609359352,754,6643,100,1,02-Apr-2026 17:09:25
114924,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,8,50,10,0.100869003160011,64,826,100,1,02-Apr-2026 17:10:03
114823,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.00189326741311619,129,1495,100,1,02-Apr-2026 17:10:07
114621,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,-0.00219015472372087,228,2673,100,1,02-Apr-2026 17:10:12
108020,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0515017970504863,592,5847,100,1,02-Apr-2026 17:10:19
115825,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0232012768747107,127,1501,100,1,02-Apr-2026 17:10:19
116726,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.00869219280804268,92,1103,100,1,02-Apr-2026 17:10:20
116524,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,8,50,10,0.0495036920220666,189,2149,100,1,02-Apr-2026 17:10:29
112112,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,16,50,10,0.04865030858963,667,5985,100,1,02-Apr-2026 17:10:34
114318,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,12,50,10,0.123280942291007,338,4006,100,1,02-Apr-2026 17:10:45
115017,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.0345356056600735,89,1089,100,1,02-Apr-2026 17:10:58
111312,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0360429823285094,659,6398,100,1,02-Apr-2026 17:11:03
115320,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,13,50,10,0.145304492284649,295,3384,100,1,02-Apr-2026 17:11:07
109830,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,17,50,10,0.0493171771835292,866,7699,100,1,02-Apr-2026 17:11:07
117930,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,12,50,10,0.12490550088736,217,2637,100,1,02-Apr-2026 17:11:08
117122,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,12,50,10,0.148564946750103,287,3248,100,1,02-Apr-2026 17:11:09
117021,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0806057437581651,111,1328,100,1,02-Apr-2026 17:11:30
115219,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.00636255159822742,79,974,100,1,02-Apr-2026 17:11:42
121416,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,-0.0274699466464651,106,1314,100,1,02-Apr-2026 17:13:11
122620,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.00232701364569497,84,910,100,1,02-Apr-2026 17:13:16
120515,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,0.0562569415521311,49,588,100,1,02-Apr-2026 17:13:17
118932,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,7,50,10,-0.0386778846153846,91,1040,100,1,02-Apr-2026 17:13:17
120717,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.11206562359885,173,1938,100,1,02-Apr-2026 17:13:35
123117,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.0523763774909092,208,2387,100,1,02-Apr-2026 17:13:57
122317,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.103021359243441,257,3105,100,1,02-Apr-2026 17:13:58
118831,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0561409502239081,88,1078,100,1,02-Apr-2026 17:14:10
