subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101006,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.166259678412923,136,1647,30,1,03-Apr-2026 05:38:37
100408,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.157746354750841,127,1580,30,1,03-Apr-2026 05:38:40
102513,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.255590214261781,118,1473,30,1,03-Apr-2026 05:38:45
102816,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,9,50,10,0.204431737753439,120,1496,30,1,03-Apr-2026 05:38:47
102311,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.171373407344791,123,1532,30,1,03-Apr-2026 05:38:49
100307,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,8,50,10,0.126726030628538,109,1328,30,1,03-Apr-2026 05:38:49
102109,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.212075845660831,137,1683,30,1,03-Apr-2026 05:38:54
100610,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.120970812419259,159,1938,30,1,03-Apr-2026 05:38:55
100206,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.14377682798628,145,1805,30,1,03-Apr-2026 05:38:56
101309,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.180341282614255,228,2811,30,1,03-Apr-2026 05:39:01
