subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100610,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.144760611162126,163,1980,31,0.903551657059923,02-Apr-2026 18:10:31
100307,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.158095103737058,146,1833,35,0.901071986867618,02-Apr-2026 18:10:45
102109,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.204813281095021,114,1420,31,0.90409913549444,02-Apr-2026 18:10:49
100408,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.222346822130773,131,1620,34,0.903547473115927,02-Apr-2026 18:10:55
103515,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.199831350972678,156,1854,36,0.90304773726129,02-Apr-2026 18:11:00
101107,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,11,50,10,0.166554241623902,145,1756,33,0.900656775800495,02-Apr-2026 18:11:03
102311,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.218454191933696,134,1698,33,0.902813399126478,02-Apr-2026 18:11:06
102513,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.248524204827988,122,1533,35,0.90272155240439,02-Apr-2026 18:11:08
100206,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.163848263711023,223,2739,32,0.904207842163799,02-Apr-2026 18:11:11
101006,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.174540162057014,117,1389,32,0.901611548908805,02-Apr-2026 18:11:11
102008,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.149354742171241,161,1984,33,0.901337427868975,02-Apr-2026 18:11:27
101309,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.194790397903088,123,1517,36,0.903802785698499,02-Apr-2026 18:11:34
103212,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.2240192305999,136,1685,33,0.902218600546409,02-Apr-2026 18:11:41
101915,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.277848061252679,136,1706,35,0.900258485450558,02-Apr-2026 18:12:01
103111,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.241136646903283,117,1465,39,0.901894333439202,02-Apr-2026 18:12:10
102614,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.187695912288387,136,1653,31,0.900512153610037,02-Apr-2026 18:12:29
104416,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.240864921356945,161,2018,33,0.902526417313284,02-Apr-2026 18:12:30
102816,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.163206509963165,89,1059,37,0.903852756062036,02-Apr-2026 18:13:08
105216,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.227128449460238,121,1506,31,0.903764856409721,02-Apr-2026 18:13:18
107321,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.228802418267624,130,1574,38,0.900303517185249,02-Apr-2026 18:13:19
105620,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.17717098474209,157,1922,32,0.904020835991319,02-Apr-2026 18:13:21
106521,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.183516821114316,74,934,34,0.902528079175534,02-Apr-2026 18:13:23
105923,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.162760914154718,143,1784,30,0.903827796415064,02-Apr-2026 18:13:25
105115,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.0935701234944237,178,2187,33,0.901820762330232,02-Apr-2026 18:13:25
104012,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.205917351159725,192,2387,33,0.901634075283183,02-Apr-2026 18:13:31
103818,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.200808526007523,139,1692,32,0.902820887988231,02-Apr-2026 18:13:42
107018,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.129939599255856,133,1633,29,0.901157597730195,02-Apr-2026 18:13:58
105014,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.218553589621579,140,1739,34,0.902639122351677,02-Apr-2026 18:14:11
106016,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.167097948909421,96,1179,38,0.902698756265629,02-Apr-2026 18:14:40
106824,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.168614991849565,110,1407,31,0.901572402014244,02-Apr-2026 18:15:11
110613,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.178503059622896,128,1594,31,0.900800377704709,02-Apr-2026 18:16:03
108121,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,45,9,50,10,0.134224,80,1000,33,0.904322249838427,02-Apr-2026 18:16:09
107422,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.247164345563213,149,1870,32,0.903779553126848,02-Apr-2026 18:16:19
109830,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.236721083606897,110,1326,40,0.901473754633534,02-Apr-2026 18:16:24
108828,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.193888507611603,166,2013,34,0.901230499358256,02-Apr-2026 18:16:25
109123,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.177756509096026,132,1652,32,0.901709468609927,02-Apr-2026 18:16:26
107725,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.237050615952684,125,1515,37,0.900884133562756,02-Apr-2026 18:16:32
110411,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.133967972710083,148,1838,31,0.904176006172169,02-Apr-2026 18:16:35
110007,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.213956942701038,143,1786,38,0.900287125110214,02-Apr-2026 18:16:35
108020,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.144165020576132,221,2700,31,0.902787126862579,02-Apr-2026 18:16:37
109325,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.218598491111478,137,1732,32,0.904140018949127,02-Apr-2026 18:16:40
111312,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.195157064793857,123,1537,29,0.900591307098735,02-Apr-2026 18:16:41
111413,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.171499211246217,191,2416,32,0.903585160488441,02-Apr-2026 18:16:43
108323,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.154351624959778,81,1005,31,0.901544979990044,02-Apr-2026 18:16:47
111211,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.188373974738528,133,1624,33,0.900266020761969,02-Apr-2026 18:16:55
108525,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.210979751772233,143,1731,32,0.903819189680215,02-Apr-2026 18:16:58
111009,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.16326463685039,136,1684,32,0.902120744351363,02-Apr-2026 18:17:19
111716,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.221866672921749,116,1460,31,0.902646182822688,02-Apr-2026 18:18:17
114924,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,46,10,50,10,0.192333766661154,106,1331,39,0.900587980814775,02-Apr-2026 18:18:24
114621,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.234993770719416,128,1569,32,0.900390654530296,02-Apr-2026 18:18:27
114823,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.211953944272423,116,1478,34,0.90312374508479,02-Apr-2026 18:18:47
115219,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.126561899269512,84,1020,36,0.900358836431097,02-Apr-2026 18:18:49
112516,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.134400186944688,127,1593,34,0.901417638720327,02-Apr-2026 18:18:51
115017,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,10,50,10,0.139516398222012,112,1376,34,0.903152300144241,02-Apr-2026 18:18:52
112314,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.129481247370115,130,1608,29,0.903499613757348,02-Apr-2026 18:18:58
114217,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.10969827770157,163,2025,32,0.900533628348781,02-Apr-2026 18:19:00
112920,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.167535304973074,138,1753,30,0.904199787808855,02-Apr-2026 18:19:04
113215,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.141709400573919,95,1164,33,0.902021130353519,02-Apr-2026 18:19:05
112112,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.166979520902457,202,2541,29,0.902268399898199,02-Apr-2026 18:19:09
114419,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.261962095338501,127,1592,36,0.904435276661967,02-Apr-2026 18:19:09
114318,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,11,50,10,0.170041783333054,134,1692,31,0.900688777717885,02-Apr-2026 18:19:17
113922,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.213752150740694,154,1833,33,0.901589037106404,02-Apr-2026 18:19:44
113316,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.264671468080801,139,1756,30,0.903254150511681,02-Apr-2026 18:20:31
118730,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.227108073737865,123,1555,36,0.900675295248713,02-Apr-2026 18:21:03
116524,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,46,10,50,10,0.159889540336425,114,1281,37,0.903447762004328,02-Apr-2026 18:21:04
117324,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.225271938997219,135,1614,37,0.90244417259925,02-Apr-2026 18:21:24
117021,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.153182373181741,154,1874,30,0.903044615914746,02-Apr-2026 18:21:24
116726,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.165979253095369,120,1497,33,0.900391053934361,02-Apr-2026 18:21:27
115825,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.193336099590621,138,1728,27,0.902872106667822,02-Apr-2026 18:21:33
118932,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.218170028878616,132,1623,31,0.904397704120846,02-Apr-2026 18:21:33
