subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101107,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.154624030682232,172,1890,200,1,03-Apr-2026 09:08:59
101915,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.212401565240354,158,1792,200,1,03-Apr-2026 09:09:02
100408,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.239809101288202,172,2174,200,1,03-Apr-2026 09:09:11
100610,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.181782231079872,143,1617,200,1,03-Apr-2026 09:09:24
100206,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.236975129541932,153,1736,200,1,03-Apr-2026 09:09:29
102008,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.227357665414168,153,1737,200,1,03-Apr-2026 09:09:30
101006,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.243034550384476,123,1598,200,1,03-Apr-2026 09:09:32
101309,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.286507221273664,176,1971,200,1,03-Apr-2026 09:09:35
100307,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.287430565685274,157,1844,200,1,03-Apr-2026 09:09:52
102109,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.236179660454914,160,1759,200,1,03-Apr-2026 09:10:40
102311,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.26987999500744,155,1808,200,1,03-Apr-2026 09:11:38
102816,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.212161213766058,186,2045,200,1,03-Apr-2026 09:11:42
102614,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.297040299783871,226,2533,200,1,03-Apr-2026 09:12:21
102513,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.247558186721985,127,1431,200,1,03-Apr-2026 09:12:23
104416,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.262120860064336,167,1859,200,1,03-Apr-2026 09:12:27
105014,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.272761233350817,164,1838,200,1,03-Apr-2026 09:12:28
103818,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.164973353814607,131,1486,200,1,03-Apr-2026 09:12:31
104012,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.188586858085064,147,1633,200,1,03-Apr-2026 09:12:35
103111,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.326148191543146,260,2824,200,1,03-Apr-2026 09:12:53
103212,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.234033485670382,226,2514,200,1,03-Apr-2026 09:12:54
103515,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.217349823122189,192,2105,200,1,03-Apr-2026 09:13:17
105115,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.194442620833504,243,2732,200,1,03-Apr-2026 09:13:56
105216,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.19715445038656,120,1351,200,1,03-Apr-2026 09:14:51
107725,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.244745370370371,126,1440,200,1,03-Apr-2026 09:15:34
106824,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.227491722803302,151,1712,200,1,03-Apr-2026 09:15:36
107321,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.284082957647419,221,2356,200,1,03-Apr-2026 09:15:38
105620,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.257828281333352,221,2466,200,1,03-Apr-2026 09:15:44
107422,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.233680831953003,171,2037,200,1,03-Apr-2026 09:16:07
106016,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.254083779141869,197,2195,200,1,03-Apr-2026 09:16:09
106521,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.232965141738027,146,1809,200,1,03-Apr-2026 09:16:11
105923,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.241557667323148,161,1781,200,1,03-Apr-2026 09:16:18
107018,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.275197226785909,158,1801,200,1,03-Apr-2026 09:16:30
108121,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,9,50,10,0.25207734375,144,1600,200,1,03-Apr-2026 09:16:41
108323,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.188758830115358,140,1546,200,1,03-Apr-2026 09:16:48
108020,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.215372297674491,192,2211,200,1,03-Apr-2026 09:16:55
108828,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.291581449618655,175,2039,200,1,03-Apr-2026 09:17:15
108525,LR,schaefer200x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.186927840398942,143,1624,200,1,03-Apr-2026 09:17:47
