subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101915,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.304764509142533,675,7051,161700,1,01-Apr-2026 05:46:38
102008,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,8,50,10,0.170573844610181,583,6121,161700,1,01-Apr-2026 05:46:42
100307,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.439531254639413,963,9372,161700,1,01-Apr-2026 05:47:04
100408,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.326621498071908,755,8257,161700,1,01-Apr-2026 05:47:21
101006,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.37198032161869,747,7753,161700,1,01-Apr-2026 05:47:19
100206,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.3595029182365,1163,12300,161700,1,01-Apr-2026 05:48:29
101309,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.437450292498106,945,9819,161700,1,01-Apr-2026 05:49:01
100610,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.360085794801205,987,9824,161700,1,01-Apr-2026 05:49:29
102109,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.379248915763245,810,7948,161700,1,01-Apr-2026 05:49:34
101107,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.454930510092925,1024,9442,161700,1,01-Apr-2026 05:50:39
102311,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.302329164109546,675,7348,161700,1,01-Apr-2026 05:50:59
102816,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.287187087098095,646,7059,161700,1,01-Apr-2026 05:53:50
103515,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.230664740350369,841,9181,161700,1,01-Apr-2026 05:54:40
103818,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.286118500288832,918,9389,161700,1,01-Apr-2026 05:54:46
102513,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.573003420969265,1148,11171,161700,1,01-Apr-2026 05:55:44
102614,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.43360957424272,1243,12419,161700,1,01-Apr-2026 05:55:54
103212,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.340604609845619,954,10018,161700,1,01-Apr-2026 05:55:57
104416,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.40282546537293,813,7910,161700,1,01-Apr-2026 05:57:17
104012,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.363441158224295,1214,11905,161700,1,01-Apr-2026 05:58:00
103111,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.486967251069993,1099,11196,161700,1,01-Apr-2026 05:58:08
105014,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.240954874956497,509,5338,161700,1,01-Apr-2026 05:59:50
105115,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.370884124930275,1038,10425,161700,1,01-Apr-2026 06:00:06
107725,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.31211667235845,569,6050,161700,1,01-Apr-2026 06:01:35
106521,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.364491861861783,1022,10235,161700,1,01-Apr-2026 06:02:33
108121,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,9,50,10,0.186704608868224,453,4754,161700,1,01-Apr-2026 06:02:54
107422,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.324004739405719,887,9578,161700,1,01-Apr-2026 06:03:11
105216,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.445498943303011,1071,10513,161700,1,01-Apr-2026 06:03:22
105620,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.319341411039224,860,9139,161700,1,01-Apr-2026 06:03:36
108323,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.187077005239249,412,4741,161700,1,01-Apr-2026 06:04:00
107018,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.22521243540259,551,6339,161700,1,01-Apr-2026 06:04:13
105923,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.354508559920055,903,9281,161700,1,01-Apr-2026 06:04:22
106016,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.413373005048423,1154,11186,161700,1,01-Apr-2026 06:04:38
108525,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.358441619056987,818,8808,161700,1,01-Apr-2026 06:04:49
107321,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.415122847830294,780,7964,161700,1,01-Apr-2026 06:05:19
106824,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.386675640315216,1069,10936,161700,1,01-Apr-2026 06:07:35
109123,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.406298501335076,811,8354,161700,1,01-Apr-2026 06:09:21
108020,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.444901736819684,1182,11457,161700,1,01-Apr-2026 06:09:26
110411,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.355894606708216,908,9116,161700,1,01-Apr-2026 06:09:34
108828,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.435902479704925,894,8990,161700,1,01-Apr-2026 06:09:42
109325,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.345184426210242,676,6919,161700,1,01-Apr-2026 06:09:59
109830,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.405984704425253,836,9148,161700,1,01-Apr-2026 06:10:19
110007,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.297122015758336,1002,10579,161700,1,01-Apr-2026 06:10:48
