subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100408,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.124376511715486,127,1653,35,1,10-Apr-2026 11:48:59
100610,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.109620761451517,129,1640,35,1,10-Apr-2026 11:49:15
101006,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.081460712910389,142,1826,35,1,10-Apr-2026 11:49:37
100206,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.0800142239202819,138,1731,35,1,10-Apr-2026 11:50:32
100307,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.0700231958750159,110,1423,35,1,10-Apr-2026 11:51:04
101309,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,13,50,10,0.0947711288712162,164,2138,35,1,10-Apr-2026 11:51:11
101107,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,13,50,10,0.154814761001577,185,2314,35,1,10-Apr-2026 11:51:11
101915,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,12,50,10,0.126913265306122,198,2520,35,1,10-Apr-2026 11:51:38
102109,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.069137003872127,162,2076,35,1,10-Apr-2026 11:52:10
102311,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.113233643206175,168,2158,35,1,10-Apr-2026 11:52:43
102513,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.0936266751081566,138,1755,35,1,10-Apr-2026 11:56:22
102614,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,12,50,10,0.108280081556805,153,2002,35,0.999999999999999,10-Apr-2026 11:57:23
103212,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.133536583432422,167,2175,35,0.999999999999999,10-Apr-2026 11:58:36
103818,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.0610295990419636,119,1531,35,0.999999999999998,10-Apr-2026 11:58:49
103515,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,14,50,10,0.105656610778232,225,2853,35,1,10-Apr-2026 11:59:20
105115,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.0851283618269874,89,1171,35,1,10-Apr-2026 11:59:57
105014,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.135569408264245,156,2037,35,1,10-Apr-2026 12:00:27
103111,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.162186461416796,170,2177,35,1,10-Apr-2026 12:00:59
105216,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.062748757784588,106,1322,35,0.999999999999999,10-Apr-2026 12:02:02
102816,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,12,50,10,0.153318553997404,146,1793,35,1,10-Apr-2026 12:02:09
102008,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,67,50,10,0.196638570743881,812,22410,35,0.999999999999999,10-Apr-2026 12:02:53
105923,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.0709694141648469,94,1147,35,1,10-Apr-2026 12:04:23
106016,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.106002404170983,92,1192,35,1,10-Apr-2026 12:04:23
106521,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.0852669086957741,126,1646,35,1,10-Apr-2026 12:06:54
107422,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.0616692241451871,122,1572,35,1,10-Apr-2026 12:09:04
108121,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,45,10,50,10,0.085785586259396,148,1818,35,1,10-Apr-2026 12:09:21
107321,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,13,50,10,0.211209218009073,169,2214,35,1,10-Apr-2026 12:09:48
