subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100307,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.521765744550559,735,7476,4950,1,01-Apr-2026 11:08:32
100206,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.428349755888552,668,7236,4950,1,01-Apr-2026 11:08:36
100408,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.406909664374091,423,4590,4950,1,01-Apr-2026 11:08:43
101107,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.370422646941679,563,5923,4950,1,01-Apr-2026 11:09:11
100610,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.389255613689358,684,7644,4950,1,01-Apr-2026 11:09:37
101006,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.376685600063888,560,6177,4950,1,01-Apr-2026 11:10:04
101309,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.434385842989855,677,7311,4950,1,01-Apr-2026 11:12:43
102109,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.435221656725933,601,6446,4950,1,01-Apr-2026 11:12:48
101915,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.590384220138073,963,9983,4950,1,01-Apr-2026 11:12:58
102311,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.427126155824792,566,6177,4950,1,01-Apr-2026 11:13:07
102008,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.432869399512761,672,7364,4950,1,01-Apr-2026 11:13:40
102614,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.424809540843345,657,7121,4950,1,01-Apr-2026 11:13:43
102715,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.473260267175736,710,7503,4950,1,01-Apr-2026 11:13:46
102513,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.55834362139918,759,7560,4950,1,01-Apr-2026 11:14:02
102816,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,11,50,10,0.435158999468479,505,5330,4950,1,01-Apr-2026 11:14:03
103212,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.357963823971214,545,6199,4950,1,01-Apr-2026 11:15:18
104012,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.378457577850021,512,5683,4950,1,01-Apr-2026 11:16:15
103111,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.505614238753527,762,8018,4950,1,01-Apr-2026 11:16:49
103515,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.365784120252449,614,6987,4950,1,01-Apr-2026 11:16:49
103818,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.405480539931599,542,5948,4950,1,01-Apr-2026 11:16:58
106016,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.42841455605529,681,7294,4950,1,01-Apr-2026 11:18:41
104416,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.476573864805043,672,7139,4950,1,01-Apr-2026 11:18:54
105923,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.385446278010593,627,7117,4950,1,01-Apr-2026 11:19:00
106824,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.418481289036034,580,6094,4950,1,01-Apr-2026 11:19:03
105115,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.460788219556733,680,7203,4950,1,01-Apr-2026 11:19:04
105620,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.412947141461216,608,6809,4950,1,01-Apr-2026 11:19:42
105014,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.516895453144102,830,8472,4950,1,01-Apr-2026 11:19:48
105216,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.410037757331842,587,6438,4950,1,01-Apr-2026 11:19:55
107018,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.392630378224754,544,6009,4950,1,01-Apr-2026 11:19:59
107725,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,44,9,50,10,0.340386818491405,355,3844,4950,1,01-Apr-2026 11:20:16
108121,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,9,50,10,0.31048839305706,318,3516,4950,1,01-Apr-2026 11:20:48
106521,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.460039970868074,654,6953,4950,1,01-Apr-2026 11:20:52
107321,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.538991791374689,761,7665,4950,1,01-Apr-2026 11:22:13
108020,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.44356160867978,638,7013,4950,1,01-Apr-2026 11:22:31
107422,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.439040398659724,787,8672,4950,1,01-Apr-2026 11:22:50
108323,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.411553756125633,559,6098,4950,1,01-Apr-2026 11:22:54
108828,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.43095497512641,558,6092,4950,1,01-Apr-2026 11:23:30
108525,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.464988692210025,528,5656,4950,1,01-Apr-2026 11:23:38
110613,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.38900321321034,483,5310,4950,1,01-Apr-2026 11:23:42
110411,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.358849794193009,449,5063,4950,1,01-Apr-2026 11:23:45
109830,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.395195687949234,527,5631,4950,1,01-Apr-2026 11:23:50
111009,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.381578855549971,582,6708,4950,1,01-Apr-2026 11:23:51
110007,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.431799778580797,615,6726,4950,1,01-Apr-2026 11:23:55
111413,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.414854351855497,537,5991,4950,1,01-Apr-2026 11:24:04
111211,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.453367618442486,710,7748,4950,1,01-Apr-2026 11:24:07
109325,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.390839881704916,606,6669,4950,1,01-Apr-2026 11:24:11
109123,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.4268178176,562,6250,4950,1,01-Apr-2026 11:24:16
111312,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.347234250300029,462,5166,4950,1,01-Apr-2026 11:25:20
111716,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.473943760096967,776,8284,4950,1,01-Apr-2026 11:25:59
112314,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.423240356516284,476,5333,4950,1,01-Apr-2026 11:26:45
112516,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.471013498833382,712,7455,4950,1,01-Apr-2026 11:27:12
112112,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.400667457005856,640,6952,4950,1,01-Apr-2026 11:27:31
112920,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.407002550716794,675,7390,4950,1,01-Apr-2026 11:27:52
113215,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.526872084548105,920,9800,4950,1,01-Apr-2026 11:28:59
114318,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.288238517378563,425,4552,4950,1,01-Apr-2026 11:29:28
114419,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.455046665514647,610,6555,4950,1,01-Apr-2026 11:29:31
113922,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.325552003452583,503,5747,4950,1,01-Apr-2026 11:29:39
116726,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.396759571176947,565,6168,4950,1,01-Apr-2026 11:29:45
114823,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.442141646519439,647,6917,4950,1,01-Apr-2026 11:29:51
115219,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.43446252575562,507,5543,4950,1,01-Apr-2026 11:29:57
115825,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.350493540394267,494,5409,4950,1,01-Apr-2026 11:30:32
114217,RL,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.582351192053207,790,8118,4950,1,01-Apr-2026 11:30:54
