subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
100206,0.063077441633154,312,3826,0.209876108421231,786,8712,0.0309494093681193,261,3179
100307,0.0848927115435948,64,812,0.158407528026706,470,5103,0.0489476676062952,253,2836
100408,0.041927679273299,88,1070,0.181288362447744,583,6392,0.0546518881464599,1012,7312
100610,0.14977700263779,49,588,0.163082435849897,458,5258,0.0389820471111654,395,4258
101006,0.0508609935397639,112,1340,0.218984814946737,660,6936,0.0719094200026418,401,4350
101107,0.0392876565075668,754,6988,0.148559759428688,758,8541,0.0235093580894738,266,3108
101309,0.137469141641109,294,3461,0.13592709054569,180,2094,0.0116772186656902,879,7037
101915,0.0505884933590222,223,2615,0.210346660170918,324,3629,0.0192617216705151,1081,8383
102008,0.104247657644259,271,3280,0.147682686949627,432,4786,0.105462111833741,421,4639
102109,0.0526268936410418,91,1104,0.190285600450233,536,5745,0.0542274245751541,361,3837
102311,0.04447761647141,741,6844,0.159797488700163,389,4169,0.0108220218502056,957,7124
102513,0.0694510066424883,260,2914,0.182327882191291,462,5027,0.078220556468788,598,6727
102614,0.0453785223695889,745,6940,0.213494729395831,510,5455,0.0716099064554016,495,5022
102816,0.169230566769925,452,5223,0.186535368291663,402,4245,0.0444871887858119,424,4406
103111,0.0487142824481232,167,1973,0.149138310186233,630,7430,0.0286684657677548,294,3263
103212,0.0212539792387543,148,1700,0.134946831982226,465,5079,0.0562503794480038,447,4726
103515,0.0563762239479241,110,1311,0.226642278542942,421,4587,0.0659319435737815,589,6308
103818,0.0311493083643451,728,6926,0.139529806903877,439,4617,0.0906180909499412,475,4996
104012,0.0549204042167891,105,1237,0.191843434343433,542,5940,0.0441815338175482,372,4154
104416,0.0221870182900767,140,1641,NaN,NaN,NaN,0.0411971674975177,428,4715
105014,0.042144434520893,884,7781,0.169338047978825,386,4285,0.0917031975054226,434,4687
105115,0.0262102179894243,139,1633,0.15624688638349,390,4316,0.0589999246318026,362,3896
105216,0.136528366897771,313,3747,0.129556463837649,516,5682,0.0890348288019467,535,5618
