subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
100206,0.236975129541932,153,1736,0.528190240218212,848,8580,NaN,NaN,NaN
100307,0.287430565685274,157,1844,0.543332947889322,703,6864,NaN,NaN,NaN
100408,0.239809101288202,172,2174,0.653426145835734,866,8135,NaN,NaN,NaN
100610,0.181782231079872,143,1617,0.60241587843603,941,9368,NaN,NaN,NaN
101006,0.243034550384476,123,1598,0.586918881834115,687,6818,NaN,NaN,NaN
101107,0.154624030682232,172,1890,0.425633287928413,559,5789,NaN,NaN,NaN
101309,0.286507221273664,176,1971,0.472982687123511,463,4769,NaN,NaN,NaN
101915,0.212401565240354,158,1792,0.732681794022307,951,8764,NaN,NaN,NaN
102008,0.227357665414168,153,1737,0.509314863154722,724,7332,NaN,NaN,NaN
102109,0.236179660454914,160,1759,0.490902659427823,585,6086,NaN,NaN,NaN
102311,0.26987999500744,155,1808,0.555597647558057,721,7408,NaN,NaN,NaN
102513,0.247558186721985,127,1431,0.783589515704299,830,7080,NaN,NaN,NaN
102614,0.297040299783871,226,2533,0.660867767068982,908,8571,NaN,NaN,NaN
102816,0.212161213766058,186,2045,0.451166994222785,513,4855,NaN,NaN,NaN
103111,0.326148191543146,260,2824,0.805142966999825,827,8137,NaN,NaN,NaN
103212,0.234033485670382,226,2514,0.665968805682332,1009,9213,NaN,NaN,NaN
103515,0.217349823122189,192,2105,0.476261567722874,599,5965,NaN,NaN,NaN
103818,0.164973353814607,131,1486,0.58266691554827,897,9004,NaN,NaN,NaN
104012,0.188586858085064,147,1633,0.539773494158273,788,8005,NaN,NaN,NaN
104416,0.262120860064336,167,1859,0.633771330753123,740,7034,NaN,NaN,NaN
105014,0.272761233350817,164,1838,0.727325936454119,949,8532,NaN,NaN,NaN
105115,0.194442620833504,243,2732,0.570030684513813,854,8523,NaN,NaN,NaN
105216,0.19715445038656,120,1351,0.517600451332313,655,6791,NaN,NaN,NaN
105620,0.257828281333352,221,2466,0.57934799052489,866,8524,NaN,NaN,NaN
105923,0.241557667323148,161,1781,0.672417272909949,915,9449,NaN,NaN,NaN
106016,0.254083779141869,197,2195,0.557397491588675,853,8430,NaN,NaN,NaN
106521,0.232965141738027,146,1809,0.498103448894906,541,5684,NaN,NaN,NaN
106824,0.227491722803302,151,1712,0.657881546384781,839,8135,NaN,NaN,NaN
107018,0.275197226785909,158,1801,0.611118393673677,870,8547,NaN,NaN,NaN
107321,0.284082957647419,221,2356,0.668445871645714,778,7300,NaN,NaN,NaN
107422,0.233680831953003,171,2037,0.589672302351379,868,8461,NaN,NaN,NaN
107725,0.244745370370371,126,1440,0.478806084704782,474,4772,NaN,NaN,NaN
108020,0.215372297674491,192,2211,0.614466752949899,963,9291,NaN,NaN,NaN
108121,0.25207734375,144,1600,0.353360940708341,298,3229,NaN,NaN,NaN
108323,0.188758830115358,140,1546,0.551417552228005,745,7280,NaN,NaN,NaN
108525,0.186927840398942,143,1624,0.444012534755811,537,5722,NaN,NaN,NaN
108828,0.291581449618655,175,2039,0.627862548736244,854,8052,NaN,NaN,NaN
109123,0.192129450752768,176,2019,0.56447320830378,809,7918,NaN,NaN,NaN
109325,0.215447268718624,140,1544,0.565975946486539,755,7392,NaN,NaN,NaN
109830,0.298633929763416,208,2311,0.679735980439828,733,6732,NaN,NaN,NaN
110007,0.253814514276275,186,2079,0.507319983969416,533,5310,NaN,NaN,NaN
110411,0.20591725149969,127,1398,0.501627957186,695,7031,NaN,NaN,NaN
110613,0.269068432886096,155,1755,0.459986735262821,566,6044,NaN,NaN,NaN
111009,0.272245797950336,190,2452,0.504742813690288,754,7872,NaN,NaN,NaN
111211,0.219162566873842,115,1261,0.485509044254711,556,5672,NaN,NaN,NaN
111312,0.233673856629413,135,1573,0.506253165627604,790,8298,NaN,NaN,NaN
111413,0.235702348874847,171,1928,0.582982286452349,739,7459,NaN,NaN,NaN
111716,0.241926792774427,181,2057,0.461239541426128,576,6191,NaN,NaN,NaN
112112,0.223233119951227,144,1620,0.562997567127925,713,7222,NaN,NaN,NaN
112314,0.19448748580227,131,1501,0.431662273915899,583,6941,NaN,NaN,NaN
112516,0.272933154585799,187,2080,0.588621034554612,730,7198,NaN,NaN,NaN
112920,0.225595090244039,188,2057,0.6321525517826,894,8770,NaN,NaN,NaN
113215,0.288870370431367,141,1653,0.672497979614727,926,8662,NaN,NaN,NaN
113316,0.232944674500601,151,1676,0.554939670543455,691,6874,NaN,NaN,NaN
113922,0.263491555555556,165,1875,0.561504536201103,700,7141,NaN,NaN,NaN
114217,0.20124847036886,160,1834,0.679157888921664,962,8804,NaN,NaN,NaN
114318,0.250548249876511,118,1389,0.408712807415272,505,5411,NaN,NaN,NaN
114419,0.276639653077401,162,1836,0.581448334609555,762,7519,NaN,NaN,NaN
114621,0.283595137387785,135,1642,0.611113241603215,888,8726,NaN,NaN,NaN
114823,0.244760881246641,169,1861,0.616028492920265,903,8684,NaN,NaN,NaN
114924,0.379220066002594,208,2352,0.444998544545747,446,4534,NaN,NaN,NaN
115017,0.215692188836827,204,2276,0.55382640281057,756,7537,NaN,NaN,NaN
115219,0.245945039725567,186,2011,0.433355360246417,476,4867,NaN,NaN,NaN
115320,0.274849866686601,170,1911,0.557240650523384,674,6711,NaN,NaN,NaN
115825,0.275513023229024,147,1753,0.626949010495785,873,8446,NaN,NaN,NaN
116524,0.236870247825542,183,2052,0.501978981253561,660,6357,NaN,NaN,NaN
116726,0.191271585530857,140,1541,0.570526112699907,870,8465,NaN,NaN,NaN
117021,0.246497473327043,122,1328,0.578547788585758,821,8352,NaN,NaN,NaN
117122,0.253980979496593,191,2207,0.508001575923839,667,6820,NaN,NaN,NaN
117324,0.286251165879332,158,1763,0.655227137472722,843,7810,NaN,NaN,NaN
117930,0.223799366106558,145,1612,0.683633160560363,707,6402,NaN,NaN,NaN
118528,0.211512991670335,152,1716,0.742289962986523,954,8557,NaN,NaN,NaN
118730,0.277250113378685,188,2100,0.628299714098728,701,6808,NaN,NaN,NaN
118831,0.220962471655329,179,2100,0.602171239272005,849,8427,NaN,NaN,NaN
118932,0.216426589587495,168,1915,0.516063210151494,730,7317,NaN,NaN,NaN
119025,0.216775467234297,150,1741,0.485472800452142,668,6823,NaN,NaN,NaN
119126,0.233012887419572,138,1543,0.527513950387044,816,8378,NaN,NaN,NaN
120212,0.280760629788412,126,1407,0.65621562918068,842,8061,NaN,NaN,NaN
120414,0.244726837090296,177,2091,0.537411592825898,720,7840,NaN,NaN,NaN
120515,0.296951554654524,201,2236,0.572834957662396,712,6868,NaN,NaN,NaN
120717,0.234221566860175,138,1538,0.453202600378157,638,6601,NaN,NaN,NaN
121416,0.26777563665942,185,2158,0.701368124361109,880,7971,NaN,NaN,NaN
121618,0.196784975247388,157,1753,0.639287863836526,795,7634,NaN,NaN,NaN
121921,0.186466731455162,137,1579,0.508741421004889,643,6433,NaN,NaN,NaN
122317,0.221693925527469,122,1367,0.706110356319261,891,8340,NaN,NaN,NaN
122620,0.242885850438669,220,2554,0.587337868734234,855,8245,NaN,NaN,NaN
122822,0.227674603150526,133,1519,0.526485587245592,746,7579,NaN,NaN,NaN
123117,0.27403847998404,128,1444,0.58153909961168,655,6086,NaN,NaN,NaN
123420,0.2333153888584,151,1693,0.511433066666687,731,7500,NaN,NaN,NaN
123521,0.172104900423373,211,2332,0.527560930078576,715,7455,NaN,NaN,NaN
123723,0.226485181980423,167,1804,0.469217913115644,446,4425,NaN,NaN,NaN
123824,0.178328562981073,137,1554,0.3086738114476,304,3222,NaN,NaN,NaN
123925,0.272899896168782,164,1963,0.492357962968717,699,7277,NaN,NaN,NaN
124220,0.25205147814114,179,2051,0.301864929858608,383,4154,NaN,NaN,NaN
125222,0.18970312313405,196,2234,0.470159148100688,649,6710,NaN,NaN,NaN
125525,0.240095286418245,150,1705,0.55451240873803,647,6575,NaN,NaN,NaN
126325,0.248998223698493,173,1934,0.590642833504729,677,6710,NaN,NaN,NaN
126426,0.266118412480145,157,1763,0.559188607659328,551,5276,NaN,NaN,NaN
126628,0.297930631374172,166,1917,0.395705791356207,453,4847,NaN,NaN,NaN
127327,0.194974380208064,125,1390,0.458516704207219,479,5062,NaN,NaN,NaN
127630,0.189420149678283,188,2108,0.481623536536667,553,5933,NaN,NaN,NaN
127832,0.195278034295018,120,1352,0.475013701644993,572,6147,NaN,NaN,NaN
127933,0.280999315589974,194,2102,0.718620323314932,837,7490,NaN,NaN,NaN
128026,0.225020440102946,87,1013,0.364047149191344,391,4197,NaN,NaN,NaN
128127,0.240394601176445,136,1637,0.50573858812561,639,6505,NaN,NaN,NaN
128632,0.287928200692041,187,2040,0.603636368788437,859,8464,NaN,NaN,NaN
128935,0.239725819096021,199,2176,0.57509523715473,706,6873,NaN,NaN,NaN
129028,0.208193293972793,156,1754,0.62754759940325,844,8263,NaN,NaN,NaN
129331,0.220804359004786,141,1590,0.481451497738909,679,7109,NaN,NaN,NaN
129634,0.172894858365345,128,1459,0.545510424740114,718,7219,NaN,NaN,NaN
130114,0.274483296271721,182,2038,0.668904952342581,741,7035,NaN,NaN,NaN
130316,0.235267730404682,125,1383,0.515134425732982,736,7534,NaN,NaN,NaN
130417,0.260703238072649,144,1713,0.518475016650326,756,7399,NaN,NaN,NaN
130518,0.241285054357451,168,1833,0.411619566287699,516,4982,NaN,NaN,NaN
130619,0.22846623809793,155,1862,0.556890341792017,940,9644,NaN,NaN,NaN
130720,0.292455229442463,167,1903,0.53031139786033,605,5970,NaN,NaN,NaN
131217,0.230577358228514,186,2106,0.565381696042335,732,6966,NaN,NaN,NaN
131419,0.255033354392746,150,1736,0.623351626139858,852,8085,NaN,NaN,NaN
131722,0.28655084447591,184,2157,0.509336152126066,757,7572,NaN,NaN,NaN
131823,0.213233258149134,116,1307,0.526644811406361,698,7078,NaN,NaN,NaN
132017,0.304545225529129,212,2432,0.523271038589744,709,7283,NaN,NaN,NaN
133019,0.181459599754115,113,1210,0.517771475445249,715,7532,NaN,NaN,NaN
133827,0.223740017835443,139,1561,0.552888144265636,686,6953,NaN,NaN,NaN
133928,0.209983539371137,110,1220,0.532261633136087,653,6500,NaN,NaN,NaN
134021,0.272214576558667,193,2453,0.542493695576774,802,8206,NaN,NaN,NaN
134223,0.202876880122006,130,1494,0.5150526774069,608,6284,NaN,NaN,NaN
134324,0.211241033315956,131,1442,0.441727399564892,488,5024,NaN,NaN,NaN
134829,0.240938186645508,141,1536,0.597199893050165,700,6743,NaN,NaN,NaN
135124,0.201756765827954,132,1582,0.603800504264528,751,7672,NaN,NaN,NaN
135225,0.265855724921999,174,2245,0.547531613892251,797,8228,NaN,NaN,NaN
135528,0.159351020406136,128,1419,0.581131341120329,726,6946,NaN,NaN,NaN
135629,0.19552894601146,126,1578,0.467804814543941,610,6568,NaN,NaN,NaN
136227,0.224458454770853,149,1699,0.642723784153205,732,6904,NaN,NaN,NaN
136631,0.211460402551153,127,1481,0.459235116287772,479,4892,NaN,NaN,NaN
136833,0.217845072696052,155,1774,0.593774913071084,822,7839,NaN,NaN,NaN
137027,0.261912622013929,186,2063,0.555709442840417,744,7459,NaN,NaN,NaN
137229,0.183969127613037,153,1670,0.628894909048666,934,9055,NaN,NaN,NaN
137532,0.212198462481684,189,2179,0.641599510502692,747,6774,NaN,NaN,NaN
138130,0.209763618456662,157,1779,0.627296799737653,858,8374,NaN,NaN,NaN
138332,0.263723473123732,121,1297,0.689663034471075,805,7267,NaN,NaN,NaN
138534,0.26758204643513,209,2448,0.542303648125384,759,7766,NaN,NaN,NaN
138837,0.209486885727845,167,1906,0.571843946592507,895,9110,NaN,NaN,NaN
139233,0.253017700395984,168,1866,0.449057283315857,549,5474,NaN,NaN,NaN
139435,0.23243847553385,162,1770,0.541103720458934,624,6267,NaN,NaN,NaN
139637,0.202517550540633,176,1954,0.661160116537985,885,8328,NaN,NaN,NaN
139839,0.203163944641218,159,1848,0.713885724264622,1049,9628,NaN,NaN,NaN
140319,0.18318416544712,135,1498,0.533118211531667,739,7216,NaN,NaN,NaN
140925,0.229189788084017,155,1790,0.465308246763909,515,5695,NaN,NaN,NaN
143224,0.209554238247592,168,1874,0.461028789860346,542,5678,NaN,NaN,NaN
144832,0.238448565021576,141,1596,0.643843699530935,805,7362,NaN,NaN,NaN
145127,0.257837357163962,164,1777,0.657465941935064,758,7061,NaN,NaN,NaN
145632,0.22019025,175,2000,0.537675731044321,883,8976,NaN,NaN,NaN
146129,0.203543569701125,148,1673,0.62258696687617,857,8396,NaN,NaN,NaN
146533,0.261687020305309,179,2172,0.555761054934837,887,8854,NaN,NaN,NaN
146836,0.193052534942741,189,2213,0.550774363546484,816,8281,NaN,NaN,NaN
146937,0.291391994753124,258,2806,0.794723035474229,1056,9462,NaN,NaN,NaN
147636,0.229609351086624,176,1980,0.476145595658704,555,5792,NaN,NaN,NaN
147737,0.256386209686557,173,1923,0.536424390200467,795,8093,NaN,NaN,NaN
148133,0.236719289970291,167,1914,0.725302808157001,1022,9510,NaN,NaN,NaN
148840,0.283598554859046,135,1538,0.627275739234549,821,7927,NaN,NaN,NaN
148941,0.242249730740035,164,1777,0.614493443269786,828,8061,NaN,NaN,NaN
149236,0.231469769348183,182,2128,0.540038535340347,815,8492,NaN,NaN,NaN
149741,0.350219357763981,197,2293,0.458578978123249,501,5243,NaN,NaN,NaN
149842,0.272063757487535,142,1614,0.474235284586292,496,5327,NaN,NaN,NaN
150726,0.202665725625906,155,1815,0.518351467288013,796,8333,NaN,NaN,NaN
150928,0.271864439160601,227,2672,0.532852296734766,814,8324,NaN,NaN,NaN
151223,0.196150046834087,178,2007,0.405944957693389,550,5936,NaN,NaN,NaN
151324,0.17106318244949,125,1444,0.51216546555327,659,6820,NaN,NaN,NaN
151425,0.258036674328281,179,1966,0.544417868878342,708,7373,NaN,NaN,NaN
151627,0.338187613123483,268,2961,0.561168578480281,819,8218,NaN,NaN,NaN
151728,0.198273568210251,163,1803,0.331465182341796,257,2723,NaN,NaN,NaN
151930,0.215459731800835,126,1498,0.495954422066634,706,7510,NaN,NaN,NaN
