subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
100206,0.233644078717351,155,1946,0.428349755888552,668,7236,0.266773658723114,700,7591
100307,0.197458873650029,115,1343,0.521765744550559,735,7476,0.460408342743927,901,8957
100408,0.250791406891885,107,1254,0.406909664374091,423,4590,0.339888047139916,752,7721
100610,0.155652256981609,116,1414,0.389255613689358,684,7644,0.454567237469385,1263,12616
101006,0.222359115176478,114,1407,0.376685600063888,560,6177,0.324899170749951,656,7077
101107,0.16702895079552,131,1477,0.370422646941679,563,5923,0.290689119175186,649,6761
101309,0.249677728893514,122,1427,0.434385842989855,677,7311,0.648068790121191,1293,10919
101915,0.241870068714514,143,1807,0.590384220138073,963,9983,0.345256180794271,850,9074
102008,0.148253756938011,115,1372,0.432869399512761,672,7364,0.424032670826519,1028,10345
102109,0.252828861639213,144,1730,0.435221656725933,601,6446,0.250423320109747,547,6271
102311,0.201499310252759,172,2120,0.427126155824792,566,6177,0.332784617580584,773,8119
102513,0.224277317429027,176,2076,0.55834362139918,759,7560,0.59576854619649,1162,11271
102614,0.218746789946724,161,1951,0.424809540843345,657,7121,0.306830915453789,913,9791
102715,0.23280717945454,115,1407,0.473260267175736,710,7503,0.529389249820253,1165,11848
102816,0.321536782409819,193,2135,0.435158999468479,505,5330,0.357129483199929,794,8681
103111,0.247672688974103,160,1807,0.505614238753527,762,8018,0.600596655038939,1460,13243
103212,0.259049977622857,174,2308,0.357963823971214,545,6199,0.282344963429398,576,6297
103515,0.113957784719845,217,2517,0.365784120252449,614,6987,0.287232974924982,984,10515
103818,0.207579958955921,223,2669,0.405480539931599,542,5948,0.453591795268293,1229,12037
104012,0.312537979265748,242,3103,0.378457577850021,512,5683,0.279305663485891,718,7774
104416,0.178127060730535,95,1165,0.476573864805043,672,7139,0.405200777574582,1009,9737
105014,0.202614986512438,196,2209,0.516895453144102,830,8472,0.413166101482357,990,9571
105115,0.222254031523253,193,2276,0.460788219556733,680,7203,0.318426968682475,1084,11299
105216,0.182041728576958,116,1415,0.410037757331842,587,6438,0.260840342785937,899,9614
105620,0.258888251134046,132,1569,0.412947141461216,608,6809,0.315192043658416,869,9736
105923,0.256743355226338,264,3136,0.385446278010593,627,7117,0.298766104638991,806,8855
106016,0.159654200620969,132,1454,0.42841455605529,681,7294,0.216884091164014,530,5762
106521,0.181392077243105,108,1218,0.460039970868074,654,6953,0.330391917030832,979,10388
