subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
103414,0.189398014493288,117,1358,0.486300236356292,796,8168,0.306562600440492,975,10270
104820,0.183269747400781,124,1457,0.3887360026917,639,6889,0.226846563616342,349,4214
108222,0.19103179533125,103,1199,0.459701200794031,698,7577,0.284239034216468,725,7858
111514,0.181537682823377,128,1506,0.419875788323309,602,6471,0.360178188423057,1077,11099
115724,0.183062148925394,244,2986,0.296398137236861,594,6652,0.27421064397742,866,9372
118023,0.209119875469986,172,2106,0.364661651455133,574,6154,0.346522152678597,801,8330
118225,0.200733363836541,159,1870,0.539184732524345,740,7547,0.489910714027005,1191,11497
120111,0.17502728687274,156,1922,0.327377918978775,646,7349,0.355865264647515,1142,11998
124422,0.215067020883932,138,1681,0.379786859041203,470,5119,0.187875126846191,405,4641
124624,0.263381662858,132,1651,0.377317670933203,495,5246,0.180669659303645,494,5229
124826,0.197312513433412,152,1654,0.440772615320636,652,7206,0.434342950245973,1138,11196
125424,0.158219893518954,180,2121,0.400986467758093,639,7063,0.225436748794777,797,8745
127226,0.245740082644628,178,2200,0.416302606843064,487,5401,0.220984899939451,612,6737
129129,0.273864345706683,262,3044,0.524014310763933,720,7462,0.370017061746578,760,7391
130821,0.201928213154731,134,1473,0.298261646566085,189,2197,0.202375077369386,425,4704
131924,0.1697847463072,92,1063,0.475688423295118,610,6684,0.320113101393862,826,8949
133625,0.22475995606576,167,2016,0.441665285512117,601,6449,0.382442579152022,879,9635
134425,0.172830583162854,108,1183,0.455776782635894,599,6319,0.332464230270541,790,8202
134728,0.202931061423288,175,2157,0.414501022333454,501,5346,0.298030455260886,913,9998
135730,0.199024344617896,172,2114,0.350164099053219,473,5221,0.225700445929398,806,8653
135932,0.202300273246219,160,1998,0.42773449778505,638,6987,0.251962123790296,442,5005
137128,0.19912182762412,174,2167,0.441074224376216,463,5078,0.375902703261949,760,8341
137936,0.136834319526627,102,1144,0.337672135107016,427,4640,0.171935232125068,379,3970
138231,0.136989554162967,85,968,0.529943195221945,719,7358,0.474760081786438,901,8249
140117,0.209414053589878,112,1365,0.392840258532996,562,6173,0.254314794482425,588,6433
140824,0.120843557664551,157,1719,0.316262159185527,390,4324,0.184807258520979,447,4829
141119,0.256332819374522,167,1951,0.422319371468485,484,5256,0.271508803862188,557,5776
141422,0.222947350987273,159,1819,0.406946337325713,747,8346,0.518016674866184,1379,12053
141826,0.293063089495936,143,1719,0.461618211196232,611,6444,0.513740811603116,1055,9910
143325,0.158192098898146,122,1525,0.357389065093055,536,6052,0.239334410956083,692,7236
143830,0.162549731301385,89,993,0.42346759551247,586,6263,0.215157359562298,442,5023
144731,0.165428114146063,108,1287,0.421883268632231,605,6293,0.166053069095626,565,6288
145834,0.179740809855533,145,1761,0.416605143657406,630,6959,0.41309741346743,1100,11014
146331,0.148476705513824,133,1424,0.340052565000122,419,4622,0.23158107261393,625,7094
146735,0.169233994653601,119,1383,0.456459016216059,637,7168,0.33521271155336,679,7763
148032,0.156413601548691,95,1090,0.346049713200775,533,5997,0.333647677534354,1047,10683
148335,0.218354785948769,111,1314,0.559591062314832,785,8013,0.357384572834694,708,7778
149337,0.272682715535194,108,1225,0.375153015691065,472,5111,0.207888628566116,591,6880
150625,0.158881126728951,110,1308,0.350419645146348,496,5499,0.251963626860609,673,7513
151829,0.223073022569221,220,2666,0.445378796210827,693,7462,0.272687253964496,745,8125
152831,0.196913369978525,126,1543,0.595911952134069,874,8556,0.483797706170977,1124,11564
153025,0.235426562680332,171,2098,0.404162579536544,526,5778,0.238355610858468,880,9035
153429,0.202637066182024,145,1658,0.372083662533461,584,6560,0.497224379915505,1168,10426
153631,0.222489138790719,170,2131,0.353093320483497,477,5283,0.279105155889339,804,8599
154431,0.297651163335774,153,1859,0.489627613949019,624,6566,0.284329464878327,417,4553
