subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
103414,0.191173256697474,147,1747,0.338628212600901,537,6269,0.269721800682699,923,10128
104820,0.240868584745905,142,1692,0.551966251004452,741,7456,0.393752898024829,790,7986
106319,0.231654866605263,117,1418,0.471072770686138,616,6557,0.360804955892205,668,7229
108222,0.238281616508726,99,1168,0.485559302037602,754,7819,0.499120821559029,1116,10429
111514,0.22015829748218,145,1693,0.507146137060078,793,8482,0.441401725625357,1205,11629
115724,0.212851196034649,232,2847,0.486941281535345,826,8855,0.353793461964098,1039,11021
118023,0.283760528125395,179,2177,0.444120219852419,735,7998,0.36351206525834,1178,11493
118225,0.17111474119123,86,903,0.515375398241798,591,6150,0.418287360249214,929,9617
120111,0.254926275194123,161,2004,0.395107901259542,546,6054,0.303802036907422,711,7489
124422,0.220829912598717,130,1484,0.417530671370703,728,8068,0.188685960863202,782,8783
124624,0.277661166988565,199,2397,0.346231986145445,598,6703,0.397956246079294,1225,13124
124826,0.261589918291697,281,3390,0.451086143119491,631,6874,0.453768601329531,1194,11411
125424,0.246268047190235,183,2213,0.493345382353011,654,7048,0.389798009119085,1153,11474
127226,0.222869750254588,153,1902,0.425560001367939,716,7695,0.293357355998473,865,9256
129129,0.20852254610351,91,1025,0.513813565896058,765,7876,0.693486670465844,1642,13996
130821,0.127168184839798,137,1526,0.289494610403781,370,4264,0.196778357551184,501,5469
131924,0.219999707815924,141,1850,0.455635064940188,731,7947,0.51901519393266,1513,13566
133625,0.165405899454725,133,1498,0.566717960655797,826,8374,0.544303910662556,1230,11091
134425,0.188931702030145,108,1178,0.485036806655258,652,7041,0.343264190286025,798,8519
134728,0.250055978243123,153,1852,0.441858002715266,561,6055,0.395235782559533,824,8879
135730,0.214382126901179,160,1992,0.390327956856228,582,6242,0.210088545598868,445,4681
135932,0.207643408447699,145,1688,0.490672099509288,635,6856,0.396264143804319,699,7006
137128,0.227079790545989,131,1565,0.445671797250801,678,7222,0.583811864943169,1279,11639
137936,0.249617361459549,180,1948,0.38891022709953,549,5670,0.259344551806802,524,5602
138231,0.222746099074993,105,1158,0.581364775723387,901,8833,0.373202749586653,837,8942
140117,0.154152599838412,160,1824,0.343873460454375,465,5271,0.247015313714505,607,6760
140824,0.195698192545536,89,986,0.357393324728195,364,4019,0.205997096294511,397,4391
141119,0.264739494782259,155,1942,0.469595774555608,625,6528,0.374677591344735,955,9650
141422,0.13475048058439,219,2550,0.466395935032627,843,9069,0.527307408672962,1587,15399
141826,0.266933516229159,130,1452,0.479668400523364,694,7399,0.365919155824258,662,6965
143325,0.159404715714935,160,1907,0.324420757786425,502,5670,0.320233270008914,938,9957
143830,0.196228893659287,118,1357,0.396296161163732,581,6121,0.313350931753928,807,8687
144731,0.108102290731249,126,1406,0.315395024805656,497,5634,0.218525688191959,628,7137
145834,0.242539597000208,186,2268,0.337431021346239,502,5678,0.376166344103804,871,9460
146331,0.159599983772161,143,1570,0.43830991607488,603,6426,0.376239424846038,849,8495
146735,0.189177995660015,115,1313,0.386493281515328,533,5987,0.348822103460017,736,7501
148032,0.254017439165882,183,2268,0.389123197433941,627,6795,0.275574165022957,678,7032
148335,0.116008409329293,92,1048,0.336741596704224,325,3580,0.286848266285598,646,6386
149337,0.221435945890253,117,1381,0.422374220000072,623,6442,0.278660570982207,463,5355
150625,0.281495144040928,120,1551,0.371080792550145,506,5699,0.334579808533162,821,8654
151829,0.240941514577268,124,1636,0.48296011549546,775,8459,0.319609437510059,958,10011
152831,0.250132784622883,218,2556,0.749468225301369,1114,9890,0.69243903794105,1547,13267
153025,0.17072370198816,78,871,0.317080699205851,355,4066,0.203427442165282,496,5819
153429,0.229952911893644,157,1952,0.446584153334182,671,6982,0.479742071965003,1148,10948
153631,0.203136945754563,169,1998,0.391423933566478,686,7566,0.319067874441242,1057,10726
154431,0.198110181176334,127,1457,0.564684141842353,870,8780,0.524788548975203,1101,10664
155635,0.183425438495618,166,2177,0.369197977987593,498,5559,0.221115688380019,626,6683
155938,0.211628827738315,150,1769,0.435784815190522,574,6199,0.393810345466481,861,8439
157336,0.166382335515191,100,1097,0.422866458020287,590,6340,0.455754701740336,1077,10730
158035,0.247231233268888,115,1312,0.529012438825837,747,7614,0.547443778084918,1006,9675
158338,0.214957422250493,216,2645,0.463734193567416,718,7828,0.451186239398314,1142,10877
160123,0.279626855689469,128,1426,0.579377417896474,724,6849,0.614700543470506,949,8241
161327,0.250182756243784,134,1501,0.438836917788396,438,4621,0.231539941908968,490,5772
161731,0.248955014521382,250,2894,0.464204552624106,708,7384,0.448972308768864,1208,11853
161832,0.236613911817181,121,1377,0.43159319665398,518,5597,0.225692942180651,451,5186
162026,0.182816706773725,79,893,0.475053494645181,623,6644,0.41848539287592,1019,10432
162329,0.214879146152349,180,2226,0.481844944800696,916,9785,0.477539210845067,1186,12117
163129,0.163400693238249,99,1199,0.356890208333334,539,6000,0.450085661266446,1091,10950
163836,0.188586329300512,166,1821,0.363740830610321,641,6669,0.179587984077593,645,6963
165436,0.198426421544201,93,1143,0.384014295926337,450,5029,0.297988264575417,826,9185
165638,0.212554247051397,167,2062,0.415581619125572,663,7114,0.395716487667271,874,8599
165941,0.198793323602528,171,1912,0.529338721045504,845,8337,0.417033779829638,920,9464
166438,0.18499680792256,110,1367,0.430256942318838,595,6271,0.369122068369236,848,8699
166640,0.192005394175667,153,1898,0.334474993820782,475,5106,0.290211280369234,657,6906
168240,0.170640091833874,112,1314,0.368130853016228,487,5554,0.241643535590466,508,5818
170631,0.217869807785191,148,1841,0.39918045377214,523,5752,0.365911248806579,991,10767
171330,0.221823289029954,135,1775,0.468375867932423,607,6417,0.364220091376089,899,9297
171633,0.147871585690261,115,1282,0.37045496544039,453,4889,0.208068955690293,573,6380
173334,0.251423776700231,140,1703,0.442626929327817,599,6422,0.61300126522441,1471,12947
173839,0.149001577876155,123,1528,0.308647230172602,513,5744,0.211722424702087,808,8624
174437,0.242605331112036,219,2450,0.629557846902465,1064,10327,0.537265220615149,1311,12879
175035,0.272235627843578,105,1165,0.365857821795077,374,4179,0.24087078389121,552,6355
175237,0.197355961118172,172,2032,0.520336446904404,877,9169,0.474382107662713,1393,13822
175439,0.235793779481132,149,1696,0.488058870253184,619,6097,0.419854776337775,969,9413
176037,0.211056869352059,113,1313,0.462586726222259,534,5614,0.367300051732641,1083,11140
176239,0.193816937932198,112,1232,0.313218844978171,289,3385,0.209064606828617,429,4729
176441,0.216034101086571,149,2006,0.458546452076644,592,6198,0.375659878002101,876,9480
177140,0.163478222433507,130,1489,0.459515814124171,812,8494,0.33705480505845,926,9917
178647,0.120864215027575,140,1512,0.246403370580167,260,2892,0.140100635055142,615,6688
178748,0.210044114106101,132,1568,0.321939019928533,473,5148,0.277210395795936,691,7291
179346,0.173319221243965,149,1653,0.532792789988795,790,7984,0.488313795627523,1042,10261
181131,0.138710765999208,105,1205,0.364733462336485,529,5610,0.20513167059739,612,6952
181636,0.185423054886924,113,1287,0.329691404623075,365,3920,0.268831053081393,725,7537
183034,0.227094072123629,144,1766,0.348451469230351,436,4845,0.307432301400059,698,7699
185139,0.113799074616511,95,1059,0.400273114174808,677,7576,0.348880913506974,849,9286
186545,0.236854901570942,134,1611,0.515942665110151,758,8208,0.369001790116321,941,9985
