subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101107,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.0235093580894738,266,3108,161700,1,03-Apr-2026 16:56:43
107321,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.026829215565454,241,2729,161700,1,03-Apr-2026 16:58:10
107422,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.0440622108720619,271,2908,161700,1,03-Apr-2026 16:58:14
107725,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.0607751562742779,268,3006,161700,1,03-Apr-2026 16:58:29
103212,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0562503794480038,447,4726,161700,1,03-Apr-2026 16:58:28
105923,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0510835738524781,305,3219,161700,1,03-Apr-2026 16:58:34
106016,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.0359242525369841,258,2799,161700,1,03-Apr-2026 16:58:38
104012,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.0441815338175482,372,4154,161700,1,03-Apr-2026 16:58:44
100610,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0389820471111654,395,4258,161700,1,03-Apr-2026 16:58:57
106521,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0394631102095317,335,3638,161700,1,03-Apr-2026 16:59:03
108121,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,12,50,10,0.0926611103354793,401,4207,161700,1,03-Apr-2026 16:59:04
100206,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0309494093681193,261,3179,161700,1,03-Apr-2026 16:59:07
102816,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,12,50,10,0.0444871887858119,424,4406,161700,1,03-Apr-2026 16:59:16
102008,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,14,50,10,0.105462111833741,421,4639,161700,1,03-Apr-2026 16:59:18
106824,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0626875944854105,354,3812,161700,1,03-Apr-2026 16:59:20
100307,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0489476676062952,253,2836,161700,1,03-Apr-2026 16:59:20
103818,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0906180909499412,475,4996,161700,1,03-Apr-2026 16:59:19
105620,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.064699447018587,381,4187,161700,1,03-Apr-2026 16:59:30
107018,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0339576972297959,423,4568,161700,1,03-Apr-2026 16:59:36
111716,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0677691548537781,452,4763,161700,1,03-Apr-2026 16:59:50
110613,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.0266255533517311,298,3251,161700,1,03-Apr-2026 16:59:51
104416,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0411971674975177,428,4715,161700,1,03-Apr-2026 16:59:59
101006,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.0719094200026418,401,4350,161700,1,03-Apr-2026 17:00:07
102109,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.0542274245751541,361,3837,161700,1,03-Apr-2026 17:00:10
103111,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.0286684657677548,294,3263,161700,1,03-Apr-2026 17:00:18
