subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101915,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.195887611749681,102,1305,30,1,03-Apr-2026 08:07:58
100408,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.194992368138391,106,1330,30,1,03-Apr-2026 08:08:04
103212,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.179307694576235,102,1289,30,1,03-Apr-2026 08:08:06
102311,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.21293035219628,105,1330,30,1,03-Apr-2026 08:08:25
103111,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.223472128812441,121,1588,30,1,03-Apr-2026 08:08:28
101006,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.235740490436097,139,1783,30,1,03-Apr-2026 08:08:31
100206,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.172797150563863,118,1441,30,1,03-Apr-2026 08:08:35
102513,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.201632008043868,105,1317,30,1,03-Apr-2026 08:08:40
102008,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,10,50,10,0.182458672422264,145,1891,30,0.999999999999999,03-Apr-2026 08:08:40
102816,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,10,50,10,0.252664897835079,124,1618,30,0.999999999999999,03-Apr-2026 08:08:43
100610,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.124460105571516,114,1506,30,0.999999999999999,03-Apr-2026 08:08:43
103818,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.174787785315024,132,1591,30,1,03-Apr-2026 08:09:05
104416,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.234378285044065,161,2093,30,0.999999999999998,03-Apr-2026 08:09:13
101309,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.232372381542404,170,2132,30,0.999999999999999,03-Apr-2026 08:09:14
101107,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,10,50,10,0.23554933251079,128,1661,30,1,03-Apr-2026 08:09:19
104012,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.143286602364757,102,1283,30,1,03-Apr-2026 08:09:43
102109,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.202680654848385,145,1811,30,0.999999999999999,03-Apr-2026 08:09:45
100307,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.248497220325197,108,1444,30,1,03-Apr-2026 08:09:51
102614,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.182345559426911,103,1315,30,0.999999999999999,03-Apr-2026 08:10:10
105014,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.238742202006273,106,1347,30,1,03-Apr-2026 08:10:52
103515,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,10,50,10,0.25114083502749,153,1887,30,1,03-Apr-2026 08:10:53
107422,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.185969993961431,129,1662,30,0.999999999999999,03-Apr-2026 08:11:18
106824,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.191494151258524,125,1601,30,1,03-Apr-2026 08:11:39
105923,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.197127345654157,115,1434,30,1,03-Apr-2026 08:11:38
106521,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.232367847952053,104,1311,30,0.999999999999999,03-Apr-2026 08:11:41
105115,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.185408886456823,112,1479,30,1,03-Apr-2026 08:11:54
106016,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.161239825649518,98,1265,30,1,03-Apr-2026 08:12:00
107321,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.252014350554688,119,1555,30,1,03-Apr-2026 08:12:02
105216,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.175575706583319,131,1697,30,0.999999999999999,03-Apr-2026 08:12:02
107018,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,11,50,10,0.182727583896702,171,2141,30,1,03-Apr-2026 08:12:13
105620,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,10,50,10,0.177340656349902,121,1583,30,1,03-Apr-2026 08:12:16
108323,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.27943516530348,97,1235,30,1,03-Apr-2026 08:13:01
108121,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,45,9,50,10,0.145002709764048,95,1218,30,1,03-Apr-2026 08:13:07
107725,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,47,9,50,10,0.225198611111111,91,1200,30,1,03-Apr-2026 08:13:18
108020,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.156981847851228,121,1482,30,1,03-Apr-2026 08:13:36
109123,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_fixed_components,1,correlation,48,9,50,10,0.1686483368847,105,1322,30,1,03-Apr-2026 08:13:59
