subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100408,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.313128747674679,329,3658,254,0.950095848860736,01-Apr-2026 16:02:23
100307,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.309035902394722,402,4627,259,0.950338374770459,01-Apr-2026 16:02:45
100206,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.274274123592625,306,3509,249,0.950224238451949,01-Apr-2026 16:03:33
101006,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.316523460463405,307,3588,243,0.950158912554835,01-Apr-2026 16:03:57
100610,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.263444848939764,319,3650,238,0.950270394462594,01-Apr-2026 16:04:04
102816,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.318323715809258,261,2884,245,0.950403980999073,01-Apr-2026 16:04:59
103212,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.285152295878452,356,4086,250,0.950378965990881,01-Apr-2026 16:05:08
101915,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.287060341037532,229,2617,250,0.950378956442979,01-Apr-2026 16:05:12
102311,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.273570193767151,229,2751,245,0.950096507566492,01-Apr-2026 16:05:17
103818,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.256610773852547,304,3429,254,0.950053831876933,01-Apr-2026 16:05:21
