subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100206,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.148093133507709,152,1864,47,0.951302369033476,01-Apr-2026 13:24:15
100307,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,8,50,10,0.167770289376944,102,1236,52,0.952076710183925,01-Apr-2026 13:24:21
100408,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.192771666374025,146,1797,50,0.951773014726261,01-Apr-2026 13:24:27
102311,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.254024945971104,136,1721,48,0.950996010211115,01-Apr-2026 13:24:30
102109,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.197996742926862,182,2185,45,0.95105599789759,01-Apr-2026 13:24:32
102513,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.199562412549399,127,1629,51,0.951307388839907,01-Apr-2026 13:24:35
103818,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.151345698958965,164,2009,48,0.951815697380262,01-Apr-2026 13:24:39
102008,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.265251359392634,137,1710,49,0.951939876344437,01-Apr-2026 13:24:48
101107,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,10,50,10,0.12057326726349,118,1276,49,0.951741651302145,01-Apr-2026 13:24:49
101309,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.223856708783452,125,1563,51,0.950583644464059,01-Apr-2026 13:24:53
102816,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,10,50,10,0.152003619971313,109,1210,52,0.95002229092011,01-Apr-2026 13:24:56
103212,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.242038284833893,146,1781,49,0.951932504123305,01-Apr-2026 13:24:58
103111,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.207957656931413,128,1619,55,0.952108373286851,01-Apr-2026 13:24:58
102614,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.19984313492952,142,1713,47,0.951818775858471,01-Apr-2026 13:25:07
