subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100206,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,10,50,10,0.251282162713027,389,4482,297,0.950240517761269,03-Apr-2026 14:28:33
101915,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.276726871755948,216,2641,285,0.950322260933222,03-Apr-2026 14:28:55
101006,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.325041539539615,252,3051,293,0.950200389603992,03-Apr-2026 14:28:57
100610,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.135922272691088,319,3724,294,0.950365853693792,03-Apr-2026 14:28:58
102008,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,9,50,10,0.245914977658204,321,3736,297,0.950249794801569,03-Apr-2026 14:29:00
102311,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.234560929111489,269,3163,299,0.95010592601807,03-Apr-2026 14:29:09
102513,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.308265299226655,328,3771,308,0.950318873877589,03-Apr-2026 14:29:22
101107,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,11,50,10,0.247884018054308,337,4060,278,0.950306540466355,03-Apr-2026 14:29:28
100408,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.25019400794247,420,4946,314,0.950333117305875,03-Apr-2026 14:29:47
102816,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,47,10,50,10,0.273198929658622,162,1886,273,0.950010925165786,03-Apr-2026 14:29:49
100307,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,9,50,10,0.288066302305446,524,5753,309,0.950162352308734,03-Apr-2026 14:30:10
102109,LR,schaefer100x7,triangle,rest_5min_and_tasks,each_task,rest_and_all_tasks,pca_variance_threshold,1,correlation,48,11,50,10,0.306410282229841,508,5729,260,0.950276313207732,03-Apr-2026 14:30:19
