subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101410,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.377756958179206,429,4639,4950,1,31-Mar-2026 22:56:37
103414,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.486300236356292,796,8168,4950,1,31-Mar-2026 22:59:16
118023,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.364661651455133,574,6154,4950,1,31-Mar-2026 23:02:28
115724,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.296398137236861,594,6652,4950,1,31-Mar-2026 23:02:29
111514,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.419875788323309,602,6471,4950,1,31-Mar-2026 23:02:52
113619,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.4917548563894,667,7094,4950,1,31-Mar-2026 23:02:53
104820,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.3887360026917,639,6889,4950,1,31-Mar-2026 23:03:18
119732,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.401171581774338,594,6405,4950,1,31-Mar-2026 23:03:21
116221,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.471762808231063,729,7694,4950,1,31-Mar-2026 23:03:34
119833,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.359337757306357,598,6567,4950,1,31-Mar-2026 23:03:35
114116,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.434136748177003,671,7267,4950,1,31-Mar-2026 23:03:56
120111,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.327377918978775,646,7349,4950,1,31-Mar-2026 23:04:23
108222,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.459701200794031,698,7577,4950,1,31-Mar-2026 23:04:27
122418,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.45251855467097,692,7417,4950,1,31-Mar-2026 23:05:08
118225,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.539184732524345,740,7547,4950,1,31-Mar-2026 23:05:09
130821,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.298261646566085,189,2197,4950,1,31-Mar-2026 23:06:26
130922,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.460863226643185,574,6055,4950,1,31-Mar-2026 23:06:43
133625,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.441665285512117,601,6449,4950,1,31-Mar-2026 23:06:44
124422,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.379786859041203,470,5119,4950,1,31-Mar-2026 23:06:49
136732,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,42,9,50,10,0.256796800651382,238,2484,4950,1,31-Mar-2026 23:06:50
131924,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.475688423295118,610,6684,4950,1,31-Mar-2026 23:06:57
127226,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.416302606843064,487,5401,4950,1,31-Mar-2026 23:06:59
124624,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.377317670933203,495,5246,4950,1,31-Mar-2026 23:07:07
124826,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.440772615320636,652,7206,4950,1,31-Mar-2026 23:07:29
135730,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.350164099053219,473,5221,4950,1,31-Mar-2026 23:07:47
134728,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.414501022333454,501,5346,4950,1,31-Mar-2026 23:07:49
125424,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.400986467758093,639,7063,4950,1,31-Mar-2026 23:07:51
134425,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.455776782635894,599,6319,4950,1,31-Mar-2026 23:07:57
129937,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.486385454287458,776,8341,4950,1,31-Mar-2026 23:07:59
129129,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.524014310763933,720,7462,4950,1,31-Mar-2026 23:08:03
137128,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.441074224376216,463,5078,4950,1,31-Mar-2026 23:08:04
137633,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.361097538590692,608,6741,4950,1,31-Mar-2026 23:08:16
135932,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.42773449778505,638,6987,4950,1,31-Mar-2026 23:09:54
136126,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.471973861088527,735,7881,4950,1,31-Mar-2026 23:11:16
146331,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,9,50,10,0.340052565000122,419,4622,4950,1,31-Mar-2026 23:13:23
137936,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,10,50,10,0.337672135107016,427,4640,4950,1,31-Mar-2026 23:13:32
141119,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.422319371468485,484,5256,4950,1,31-Mar-2026 23:13:42
146735,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.456459016216059,637,7168,4950,1,31-Mar-2026 23:13:45
140824,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,11,50,10,0.316262159185527,390,4324,4950,1,31-Mar-2026 23:13:49
144731,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.421883268632231,605,6293,4950,1,31-Mar-2026 23:13:58
143325,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.357389065093055,536,6052,4950,1,31-Mar-2026 23:14:05
148032,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.346049713200775,533,5997,4950,1,31-Mar-2026 23:14:06
150625,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.350419645146348,496,5499,4950,1,31-Mar-2026 23:14:09
148436,LR,schaefer100x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.405454950382272,489,5387,4950,1,31-Mar-2026 23:14:16
