subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
100307,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.543332947889322,703,6864,19900,1,03-Apr-2026 12:12:48
100206,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.528190240218212,848,8580,19900,1,03-Apr-2026 12:12:51
101107,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.425633287928413,559,5789,19900,1,03-Apr-2026 12:12:59
101309,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.472982687123511,463,4769,19900,1,03-Apr-2026 12:13:10
100408,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.653426145835734,866,8135,19900,1,03-Apr-2026 12:13:11
102008,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.509314863154722,724,7332,19900,1,03-Apr-2026 12:13:33
101006,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.586918881834115,687,6818,19900,1,03-Apr-2026 12:14:29
102816,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.451166994222785,513,4855,19900,1,03-Apr-2026 12:14:41
102109,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.490902659427823,585,6086,19900,1,03-Apr-2026 12:15:18
103515,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.476261567722874,599,5965,19900,1,03-Apr-2026 12:15:21
100610,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.60241587843603,941,9368,19900,1,03-Apr-2026 12:15:23
101915,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.732681794022307,951,8764,19900,1,03-Apr-2026 12:15:54
103818,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.58266691554827,897,9004,19900,1,03-Apr-2026 12:16:01
102311,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.555597647558057,721,7408,19900,1,03-Apr-2026 12:16:15
104012,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.539773494158273,788,8005,19900,1,03-Apr-2026 12:17:29
105216,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.517600451332313,655,6791,19900,1,03-Apr-2026 12:17:45
103212,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.665968805682332,1009,9213,19900,1,03-Apr-2026 12:18:13
104416,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.633771330753123,740,7034,19900,1,03-Apr-2026 12:18:20
102513,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.783589515704299,830,7080,19900,1,03-Apr-2026 12:18:32
105115,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.570030684513813,854,8523,19900,1,03-Apr-2026 12:18:38
106016,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.557397491588675,853,8430,19900,1,03-Apr-2026 12:18:54
105620,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.57934799052489,866,8524,19900,1,03-Apr-2026 12:19:02
103111,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,54,10,0.805142966999825,827,8137,19900,1,03-Apr-2026 12:19:02
107725,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.478806084704782,474,4772,19900,1,03-Apr-2026 12:19:17
102614,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.660867767068982,908,8571,19900,1,03-Apr-2026 12:19:21
105014,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.727325936454119,949,8532,19900,1,03-Apr-2026 12:19:41
105923,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.672417272909949,915,9449,19900,1,03-Apr-2026 12:19:51
106521,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.498103448894906,541,5684,19900,1,03-Apr-2026 12:19:52
108121,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,10,50,10,0.353360940708341,298,3229,19900,1,03-Apr-2026 12:20:24
106824,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.657881546384781,839,8135,19900,1,03-Apr-2026 12:21:23
108525,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.444012534755811,537,5722,19900,1,03-Apr-2026 12:21:37
107018,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.611118393673677,870,8547,19900,1,03-Apr-2026 12:21:39
108323,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.551417552228005,745,7280,19900,1,03-Apr-2026 12:22:10
107321,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.668445871645714,778,7300,19900,1,03-Apr-2026 12:22:30
110613,LR,schaefer200x7,edge,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.459986735262821,566,6044,19900,1,03-Apr-2026 12:22:35
