subject,session,parcellation,simplex,task_configuration,zscore_scope,feature_removal_criterion,dim_reduction_type,mapper_auto_tune,mapper_metric,mapper_param_nums_k,mapper_param_res_vals,mapper_param_gain_vals,mapper_param_nums_bin_cluster,mapper_stat_modularity,mapper_num_nodes,mapper_num_edges,pca_num_features,pca_explained_variance,timestamp
101915,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.208409687126268,106,1288,100,1,31-Mar-2026 10:24:52
101006,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.19552888488402,116,1388,100,1,31-Mar-2026 10:24:55
101309,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.244539207175926,119,1440,100,1,31-Mar-2026 10:24:57
100307,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.229584036550661,183,2269,100,1,31-Mar-2026 10:25:01
100206,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.207929644703422,156,1921,100,1,31-Mar-2026 10:25:19
100408,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.230054873980474,112,1355,100,1,31-Mar-2026 10:25:19
101107,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.128240982334072,145,1635,100,1,31-Mar-2026 10:25:34
100610,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.2008012967371,255,3033,100,1,31-Mar-2026 10:25:49
102008,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.27067207959118,216,2563,100,1,31-Mar-2026 10:26:34
102109,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.206831860454296,211,2488,100,1,31-Mar-2026 10:27:05
102311,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.150320251563036,96,1079,100,1,31-Mar-2026 10:30:08
103212,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.184213717576383,138,1604,100,1,31-Mar-2026 10:30:14
103515,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.190392464678179,85,910,100,1,31-Mar-2026 10:30:17
104012,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.203008823402644,171,2015,100,1,31-Mar-2026 10:30:20
102513,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.256177325581395,119,1376,100,1,31-Mar-2026 10:30:27
103818,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.210961301479186,110,1297,100,1,31-Mar-2026 10:30:33
105014,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.201568023166461,107,1218,100,1,31-Mar-2026 10:30:37
103111,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.205424122896888,132,1452,100,1,31-Mar-2026 10:30:45
102816,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.188277426874775,163,1846,100,1,31-Mar-2026 10:31:01
102614,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.261024770146025,175,2150,100,1,31-Mar-2026 10:31:07
104416,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.297204457971873,170,2052,100,1,31-Mar-2026 10:31:14
107321,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.188004941124451,121,1393,100,1,31-Mar-2026 10:34:49
105115,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.146581151640193,136,1548,100,1,31-Mar-2026 10:35:14
107422,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.207774727824853,97,1197,100,1,31-Mar-2026 10:35:15
105216,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.189291729235472,116,1282,100,1,31-Mar-2026 10:35:19
106521,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.174680220077934,121,1439,100,1,31-Mar-2026 10:35:19
106016,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.172499407540494,101,1127,100,1,31-Mar-2026 10:35:20
105620,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.267911492409894,171,2112,100,1,31-Mar-2026 10:35:22
108121,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,45,9,50,10,0.137648724377447,96,1074,100,1,31-Mar-2026 10:35:23
107725,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.220810384982151,100,1144,100,1,31-Mar-2026 10:35:31
105923,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.238766834123824,108,1249,100,1,31-Mar-2026 10:35:39
107018,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.250512563385934,146,1808,100,1,31-Mar-2026 10:35:39
106824,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.226057521312211,135,1772,100,1,31-Mar-2026 10:35:40
108020,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.207780779840064,214,2712,100,1,31-Mar-2026 10:36:42
110411,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.20071073900301,147,1826,100,1,31-Mar-2026 10:39:50
109123,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.212310196616369,171,2025,100,1,31-Mar-2026 10:39:51
108828,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.224547887079436,131,1548,100,1,31-Mar-2026 10:39:59
108323,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.246042655754149,128,1559,100,1,31-Mar-2026 10:40:03
111312,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.218374804500174,150,1849,100,1,31-Mar-2026 10:40:08
109830,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.228126794477892,138,1644,100,1,31-Mar-2026 10:40:11
110613,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,10,50,10,0.174691475329354,168,1937,100,1,31-Mar-2026 10:40:18
110007,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.179766952856911,146,1622,100,1,31-Mar-2026 10:40:20
111716,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.244453279695603,145,1751,100,1,31-Mar-2026 10:40:21
108525,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.201943996857333,165,1969,100,1,31-Mar-2026 10:40:22
111009,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.231094356092754,136,1676,100,1,31-Mar-2026 10:40:27
111413,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.16237376226341,171,2047,100,1,31-Mar-2026 10:40:57
111211,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.2009624610723,102,1090,100,1,31-Mar-2026 10:41:05
109325,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.265725703351428,182,2219,100,1,31-Mar-2026 10:41:08
114318,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.124923407092804,104,1154,100,1,31-Mar-2026 10:43:00
114217,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.210506049937002,125,1491,100,1,31-Mar-2026 10:43:05
113316,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.300778938984813,183,2214,100,1,31-Mar-2026 10:43:07
113215,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,8,50,10,0.193796762677881,122,1430,100,1,31-Mar-2026 10:43:24
113922,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,11,50,10,0.26443436391265,145,1713,100,1,31-Mar-2026 10:43:37
114419,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.190167560407906,131,1449,100,1,31-Mar-2026 10:43:39
114823,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.252096428413991,209,2484,100,1,31-Mar-2026 10:43:41
112112,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.268247397405402,240,2886,100,1,31-Mar-2026 10:43:49
112314,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.241190854766854,258,3151,100,1,31-Mar-2026 10:43:51
112920,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.232529907485838,207,2508,100,1,31-Mar-2026 10:43:59
112516,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.174807278519181,167,1997,100,1,31-Mar-2026 10:43:59
114924,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,46,10,50,10,0.204928456487001,164,1888,100,1,31-Mar-2026 10:44:07
115219,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,9,50,10,0.181777926516417,81,964,100,1,31-Mar-2026 10:44:09
114621,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.254755686298811,144,1783,100,1,31-Mar-2026 10:44:31
115320,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,10,50,10,0.159751762657232,130,1551,100,1,31-Mar-2026 10:45:09
115017,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,47,11,50,10,0.238664463363879,224,2813,100,1,31-Mar-2026 10:45:31
117930,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.217243516658212,104,1207,100,1,31-Mar-2026 10:47:27
117324,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.178183662098892,105,1161,100,1,31-Mar-2026 10:47:44
118730,LR,schaefer100x7,node,rest_5min_and_tasks,each_task,rest_and_all_tasks,none,1,correlation,48,9,50,10,0.233378581278873,123,1581,100,1,31-Mar-2026 10:47:46
