Task,Measure,N,Mean Correlation,Confidence Interval (Lower Bound),Confidence Interval (Upper Bound),t-stat,p-Value
REST,Peak-Dense-Pure-Node,319,0.915,0.904,0.926,164,4.65e-309
REST,Peak-Frame,319,0.751,0.744,0.758,216,0
EMOTION,Peak-Dense-Pure-Node,319,0.893,0.879,0.906,131,9.77e-279
EMOTION,Peak-Frame,319,0.723,0.714,0.731,168,1.99000000000223e-312
GAMBLING,Peak-Dense-Pure-Node,319,0.894,0.882,0.905,154,2.04e-300
GAMBLING,Peak-Frame,319,0.766,0.759,0.774,205,0
LANGUAGE,Peak-Dense-Pure-Node,319,0.943,0.936,0.95,254,0
LANGUAGE,Peak-Frame,319,0.757,0.75,0.765,209,0
MOTOR,Peak-Dense-Pure-Node,319,0.918,0.907,0.929,170,5.25000000018092e-314
MOTOR,Peak-Frame,319,0.741,0.734,0.748,213,0
RELATIONAL,Peak-Dense-Pure-Node,319,0.902,0.89,0.913,153,4.86e-300
RELATIONAL,Peak-Frame,319,0.77,0.762,0.778,191,0
SOCIAL,Peak-Dense-Pure-Node,319,0.913,0.903,0.924,169,2.40999999999694e-313
SOCIAL,Peak-Frame,319,0.752,0.745,0.759,209,0
WM,Peak-Dense-Pure-Node,319,0.922,0.912,0.932,182,0
WM,Peak-Frame,319,0.757,0.751,0.764,235,0
