condition,cohort,session,parcellation,simplex_1,simplex_2,Coef,SE,t-stat,DF,p_value,significance_bonferroni
Raw Features,one,LR,schaefer100x7,edge,node,0.215,0.0036,59.8,392,3.92e-199,***
Raw Features,one,LR,schaefer100x7,edge,triangle,0.0787,0.00425,18.5,392,1.68e-55,***
Raw Features,one,LR,schaefer100x7,triangle,node,0.136,0.00534,25.6,392,1.61e-85,***
Raw Features,two,LR,schaefer100x7,edge,node,0.217,0.00402,53.9,317,1.31e-161,***
Raw Features,two,LR,schaefer100x7,edge,triangle,0.0725,0.00483,15,317,9.32e-39,***
Raw Features,two,LR,schaefer100x7,triangle,node,0.144,0.00595,24.3,317,3.22e-74,***
Raw Features,one,RL,schaefer100x7,edge,node,0.221,0.0036,61.2,395,1.21e-203,***
Raw Features,one,RL,schaefer100x7,edge,triangle,0.0626,0.00459,13.6,394,6.29e-35,***
Raw Features,one,RL,schaefer100x7,triangle,node,0.158,0.00557,28.4,394,2.88e-97,***
Raw Features,one,LR,schaefer200x7,edge,node,0.319,0.00401,79.5,391,1.96e-243,***
Coherence,one,LR,schaefer100x7,edge,node,0.121,0.00284,42.5,385,2.65e-147,***
Coherence,one,LR,schaefer100x7,edge,triangle,0.12,0.00233,51.6,377,7.56e-173,***
Coherence,one,LR,schaefer100x7,triangle,node,-0.000142,0.0026,-0.0546,383,0.956,n.s.
PCA (90% variance),one,LR,schaefer100x7,edge,node,0.0679,0.00232,29.3,392,1.07e-100,***
PCA (90% variance),one,LR,schaefer100x7,edge,triangle,0.0469,0.00285,16.5,392,1.06e-46,***
PCA (90% variance),one,LR,schaefer100x7,triangle,node,0.0209,0.0029,7.23,392,2.52e-12,***
PCA (30 comp),one,LR,schaefer100x7,edge,node,0.0279,0.00255,10.9,389,2.06e-24,***
PCA (30 comp),one,LR,schaefer100x7,edge,triangle,0.0908,0.00302,30.1,388,2.04e-103,***
PCA (30 comp),one,LR,schaefer100x7,triangle,node,-0.063,0.00314,-20.1,391,3.61e-62,***
PCA (35 comp),one,LR,schaefer100x7,edge,node,0.0185,0.00252,7.33,389,1.38e-12,***
PCA (35 comp),one,LR,schaefer100x7,edge,triangle,0.0938,0.00306,30.6,389,9.65e-106,***
PCA (35 comp),one,LR,schaefer100x7,triangle,node,-0.0754,0.00326,-23.1,392,2.91e-75,***
PCA (40 comp),one,LR,schaefer100x7,edge,node,0.0112,0.00256,4.39,388,1.49e-05,***
PCA (40 comp),one,LR,schaefer100x7,edge,triangle,0.0957,0.0032,29.9,383,3.4e-102,***
PCA (40 comp),one,LR,schaefer100x7,triangle,node,-0.0849,0.00332,-25.6,387,2.86e-85,***
