condition,cohort,session,parcellation,simplices,coefficient,standard_error,t_statistic,degree_of_freedom,p_value,significance_bonferroni
raw_features,one,LR,schaefer100x7,edge-node,0.0824285335420755,0.00588900464746185,13.9970230075471,1177,2.72529235304476e-41,***
raw_features,one,LR,schaefer100x7,triangle-node,-0.0825929421070917,0.0073713362696291,-11.204609189705,1177,9.28612816724696e-28,***
raw_features,one,LR,schaefer100x7,edge-triangle,0.165021475649167,0.00379111610247533,43.5284679204153,1177,1.98785721668891e-247,***
raw_features,two,LR,schaefer100x7,edge-node,0.0813903324303658,0.00643460621597262,12.6488443423827,952,5.2167616915507e-34,***
raw_features,two,LR,schaefer100x7,triangle-node,-0.083981594711672,0.0081113455268468,-10.3535960135974,952,7.05049380278569e-24,***
raw_features,two,LR,schaefer100x7,edge-triangle,0.165371927142038,0.00422290980924928,39.1606580798458,952,1.3383475321648e-200,***
raw_features,one,RL,schaefer100x7,edge-node,0.0764748339161993,0.00661486797905311,11.561052187038,1185,2.28400032410377e-29,***
raw_features,one,RL,schaefer100x7,triangle-node,-0.0939906188066835,0.00846140260658779,-11.1081605706252,1185,2.42856825819783e-27,***
raw_features,one,RL,schaefer100x7,edge-triangle,0.170465452722883,0.00430587901748323,39.5890019275366,1185,4.42981769055083e-219,***
raw_features,two,RL,schaefer100x7,edge-node,0.0876046252671713,0.00683483970249658,12.8173635491659,952,8.246653054861e-35,***
raw_features,two,RL,schaefer100x7,triangle-node,-0.0819023919697897,0.00880723355648219,-9.29944589802651,952,9.39961120174606e-20,***
raw_features,two,RL,schaefer100x7,edge-triangle,0.169507017236961,0.00443126263532744,38.2525323336958,952,1.15274240559003e-194,***
