cohort,session,test_type,simplex,num_valid,coefficient,standard_error,t_statistic,degree_of_freedom,p_value,significance_bonferroni
one,LR,peak_dense_minus_none,node,328,-0.00843626617115883,0.000602664480781658,-13.9982800383672,326,3.43772160880537e-35,***
one,LR,peak_dense_minus_all,node,328,0.211584114765554,0.00196640769696318,107.5993117258,326,9.32871945841589e-257,***
one,LR,none_minus_all,node,394,0.216912811143705,0.00193749104193841,111.955516928062,392,1.11820001326141e-299,***
one,LR,peak_dense_minus_none,edge,394,-0.0632428882811133,0.00138089005858307,-45.79864116482,392,1.9390078531453e-159,***
one,LR,peak_dense_minus_all,edge,394,0.363993006665527,0.00236322689676782,154.023723732732,392,0,***
one,LR,none_minus_all,edge,394,0.427235894946641,0.00319299301143441,133.804206090232,392,0,***
one,LR,peak_dense_minus_none,triangle,394,-0.0431142007683692,0.00117572293934739,-36.6703747332691,392,9.06677690290991e-129,***
one,LR,peak_dense_minus_all,triangle,394,0.305692653148772,0.00400230747925194,76.3791024886244,392,1.74313816603374e-237,***
one,LR,none_minus_all,triangle,394,0.348806853917141,0.00499610602501596,69.8157429347242,392,3.10244085607071e-223,***
one,LR,paired_edge_vs_node,edge-node,328,-0.0565997862515329,0.0014737336642069,-38.4057090003386,326,4.94151551272684e-123,***
one,LR,paired_edge_vs_triangle,edge-triangle,394,-0.0201286875127441,0.00119688224841982,-16.8176005110936,392,3.58176256851567e-48,***
one,LR,paired_triangle_vs_node,triangle-node,328,-0.0356213013689414,0.00129575874180804,-27.4906896010881,326,6.52938267238192e-87,***
two,LR,peak_dense_minus_none,node,269,-0.00672478202385175,0.000569202324469207,-11.8143966297445,267,3.43296208916543e-26,***
two,LR,peak_dense_minus_all,node,269,0.211493586244354,0.00236170493686716,89.5512317998981,267,3.40863802154363e-201,***
two,LR,none_minus_all,node,319,0.215526924265588,0.00222476533334544,96.8762507376427,317,1.44065738791544e-237,***
two,LR,peak_dense_minus_none,edge,319,-0.0630507320306853,0.00154637854744274,-40.7731548882081,317,4.0205476578249e-128,***
two,LR,peak_dense_minus_all,edge,319,0.364427353231016,0.00269270030385939,135.338995100454,317,1.70006111077006e-282,***
two,LR,none_minus_all,edge,319,0.427478085261701,0.00369026418756592,115.839425996127,317,1.67603765778699e-261,***
two,LR,peak_dense_minus_none,triangle,319,-0.0449471138155913,0.00138731082555436,-32.3987335697685,317,1.32667880432058e-102,***
two,LR,peak_dense_minus_all,triangle,319,0.310373003290776,0.00461211342680868,67.2951800115498,317,9.02366619978934e-190,***
two,LR,none_minus_all,triangle,319,0.355320117106367,0.00581529057648378,61.1010081840505,317,1.99185756060519e-177,***
two,LR,paired_edge_vs_node,edge-node,269,-0.0582662807641152,0.00158363072037404,-36.7928457149108,267,1.48087666901144e-106,***
two,LR,paired_edge_vs_triangle,edge-triangle,319,-0.018103618215094,0.00127372040805128,-14.2131806169232,317,8.23756426100033e-36,***
two,LR,paired_triangle_vs_node,triangle-node,269,-0.039885282689148,0.0014896353735328,-26.7751984128549,267,1.36792110342499e-77,***
