cohort,session,test_type,simplex,num_valid,t_statistic,degree_of_freedom,p_value,cohens_d,significance_bonferroni
one,LR,peak_dense_minus_none,node,328,-14.0194222277437,327,2.72016879393281e-35,-0.774093095648682,***
one,LR,peak_dense_minus_matched_random,node,328,-5.76607296099074,327,1.87887055023928e-08,-0.318378118270558,***
one,LR,none_minus_matched_random,node,328,18.4231823144145,327,1.72191487574317e-52,1.01725006906796,***
one,LR,peak_dense_minus_none,edge,394,-44.4490335663494,393,2.23848994178321e-155,-2.23930996044323,***
one,LR,peak_dense_minus_matched_random,edge,394,-25.5280339008423,393,1.88001295719047e-85,-1.28608376826366,***
one,LR,none_minus_matched_random,edge,394,40.8573944686016,393,1.5031842662656e-143,2.05836579674395,***
one,LR,peak_dense_minus_none,triangle,394,-34.1166439026158,393,1.52645634237737e-119,-1.71877168924231,***
one,LR,peak_dense_minus_matched_random,triangle,394,17.1098453616731,393,1.90453972502863e-49,0.861981556535889,***
one,LR,none_minus_matched_random,triangle,394,35.3684810756483,393,3.47168172685181e-124,1.78183833491505,***
one,LR,paired_edge_vs_node,edge-node,328,-19.2326986679581,327,1.12523155506058e-55,-1.06194813222014,***
one,LR,paired_edge_vs_triangle,edge-triangle,394,-32.3453852895139,393,7.92898053170807e-113,-1.62953696946107,***
one,LR,paired_triangle_vs_node,triangle-node,328,15.2019013524551,327,7.50523467713984e-40,0.839384582795447,***
two,LR,peak_dense_minus_none,node,269,-11.8488917995976,268,2.52012813729745e-26,-0.722439683435835,***
two,LR,peak_dense_minus_matched_random,node,269,-3.4608618044851,268,0.000626390828584354,-0.211012468400825,*
two,LR,none_minus_matched_random,node,269,15.3881174451207,268,1.00642336353651e-38,0.938230079550898,***
two,LR,peak_dense_minus_none,edge,319,-39.4738614064612,318,1.33503309679767e-124,-2.21011193799869,***
two,LR,peak_dense_minus_matched_random,edge,319,-23.7604369915489,318,1.81696667078296e-72,-1.33032907286067,***
two,LR,none_minus_matched_random,edge,319,34.8914285912834,318,9.47507329287312e-111,1.95354495648106,***
two,LR,peak_dense_minus_none,triangle,319,-30.8658031858874,318,1.13675355623183e-97,-1.72815320484157,***
two,LR,peak_dense_minus_matched_random,triangle,319,16.0731521099893,318,5.75724432839416e-43,0.899923749383728,***
two,LR,none_minus_matched_random,triangle,319,31.8318170204618,318,6.87238223141448e-101,1.78223959598737,***
two,LR,paired_edge_vs_node,edge-node,269,-19.5309336963313,268,1.95061808582522e-53,-1.19082204440951,***
two,LR,paired_edge_vs_triangle,edge-triangle,319,-29.4962473860579,318,5.08126895090674e-93,-1.6514728012755,***
two,LR,paired_triangle_vs_node,triangle-node,269,13.8885401140365,268,2.10007210248687e-33,0.846799236002067,***
